Algorithm,Input,Time,Date
binarySearch,10000000,0.10000002384185791,20250713T1839
binarySearch,50000000,0.10000002384185791,20250713T1839
binarySearch,100000000,0,20250713T1839
binarySearch,200000000,0,20250713T1839
binarySearch,300000000,0,20250713T1839
binarySearch,400000000,0.10000002384185791,20250713T1839
binarySearch,500000000,0,20250713T1839
binarySearch,10000000,0,20250721T1833
binarySearch,50000000,1,20250721T1833
binarySearch,100000000,0,20250721T1833
binarySearch,200000000,0,20250721T1833
binarySearch,300000000,0,20250721T1833
binarySearch,400000000,0,20250721T1833
binarySearch,500000000,0,20250721T1833
