Algorithm,Input,Time,Date
binarySearch,10000000,0.10000002384185791,20250713T0022
binarySearch,50000000,0,20250713T0022
binarySearch,100000000,0,20250713T0022
binarySearch,200000000,0,20250713T0022
binarySearch,300000000,0,20250713T0022
binarySearch,400000000,0,20250713T0022
binarySearch,500000000,0,20250713T0022
binarySearch,600000000,0,20250713T0022
binarySearch,700000000,0,20250713T0022
binarySearch,800000000,0,20250713T0022
binarySearch,900000000,0,20250713T0022
binarySearch,1000000000,0,20250713T0022
binarySearch,10000000,0.09999999403953552,20250721T1850
binarySearch,50000000,0,20250721T1850
binarySearch,100000000,0,20250721T1850
binarySearch,200000000,0,20250721T1850
binarySearch,300000000,0,20250721T1850
binarySearch,400000000,0,20250721T1850
binarySearch,500000000,0,20250721T1850
