Algorithm,Input,Time,Date
binarySearch,10000000,0.059132999999999214,20250711T0426
binarySearch,50000000,0.07914800000000355,20250711T0426
binarySearch,100000000,0.014671000000021195,20250711T0426
binarySearch,200000000,0.011672999999973399,20250711T0426
binarySearch,300000000,0.021427000000130647,20250711T0426
binarySearch,400000000,0.009896999999909895,20250711T0426
binarySearch,500000000,0.011673999999857188,20250711T0426
binarySearch,600000000,0.012026000000332715,20250711T0426
binarySearch,700000000,0.01188200000069628,20250711T0426
binarySearch,800000000,0.01133999999910884,20250711T0426
binarySearch,900000000,0.011872999999468448,20250711T0426
binarySearch,1000000000,0.012586999999257387,20250711T0426
binarySearch,10000000,0.07761800000000108,20250711T0427
binarySearch,50000000,0.07283400000000029,20250711T0427
binarySearch,100000000,0.020022999999980584,20250711T0427
binarySearch,200000000,0.012019000000009328,20250711T0427
binarySearch,300000000,0.021953000000166867,20250711T0427
binarySearch,400000000,0.010166999999910331,20250711T0427
binarySearch,500000000,0.011466999999811378,20250711T0427
binarySearch,600000000,0.01211900000089372,20250711T0427
binarySearch,700000000,0.01203799999984767,20250711T0427
binarySearch,800000000,0.011791999999331892,20250711T0427
binarySearch,900000000,0.012224000000060187,20250711T0427
binarySearch,1000000000,0.0117709999994986,20250711T0427
binarySearch,10000000,0.05980699999999928,20250711T0427
binarySearch,50000000,0.07865699999999265,20250711T0427
binarySearch,100000000,0.012895000000014534,20250711T0427
binarySearch,200000000,0.012239000000022315,20250711T0427
binarySearch,300000000,0.020756000000119457,20250711T0427
binarySearch,400000000,0.011706999999660184,20250711T0427
binarySearch,500000000,0.011646999999356922,20250711T0427
binarySearch,600000000,0.012106999999559775,20250711T0427
binarySearch,700000000,0.011991000000307395,20250711T0427
binarySearch,800000000,0.012009000000034575,20250711T0427
binarySearch,900000000,0.012232000000949483,20250711T0427
binarySearch,1000000000,0.011984999999185675,20250711T0427
binarySearch,10000000,0.06792099999999834,20250712T0242
binarySearch,50000000,0.07851600000000758,20250712T0242
binarySearch,100000000,0.012081000000023323,20250712T0242
binarySearch,200000000,0.011182999999959975,20250712T0242
binarySearch,300000000,0.02076600000009421,20250712T0242
binarySearch,400000000,0.009861000000455533,20250712T0242
binarySearch,500000000,0.012290000000120926,20250712T0242
binarySearch,600000000,0.011625000000094587,20250712T0242
binarySearch,700000000,0.012128999999731604,20250712T0242
binarySearch,800000000,0.012944000000061351,20250712T0242
binarySearch,900000000,0.012240999998539337,20250712T0242
binarySearch,1000000000,0.012402000000292901,20250712T0242
binarySearch,10000000,0.06965399999999988,20250712T0242
binarySearch,50000000,0.06310199999998645,20250712T0242
binarySearch,100000000,0.012632999999993899,20250712T0242
binarySearch,200000000,0.01167899999995825,20250712T0242
binarySearch,300000000,0.022223000000167303,20250712T0242
binarySearch,400000000,0.011492999999973108,20250712T0242
binarySearch,500000000,0.012321000000156346,20250712T0242
binarySearch,600000000,0.01200299999982235,20250712T0242
binarySearch,700000000,0.01187500000014552,20250712T0242
binarySearch,800000000,0.011771999999837135,20250712T0242
binarySearch,900000000,0.011851999999635154,20250712T0242
binarySearch,1000000000,0.011402000000089174,20250712T0242
binarySearch,10000000,0.06829700000000116,20250712T0243
binarySearch,50000000,0.08974299999999857,20250712T0243
binarySearch,100000000,0.011857000000020435,20250712T0243
binarySearch,200000000,0.011628999999970802,20250712T0243
binarySearch,300000000,0.021788000000015018,20250712T0243
binarySearch,400000000,0.011190000000169675,20250712T0243
binarySearch,500000000,0.012036999999509135,20250712T0243
binarySearch,600000000,0.01203799999984767,20250712T0243
binarySearch,700000000,0.012112999999772,20250712T0243
binarySearch,800000000,0.011465000001408043,20250712T0243
binarySearch,900000000,0.012316000000282656,20250712T0243
binarySearch,1000000000,0.012391000000206986,20250712T0243
binarySearch,10000000,0.06272299999999831,20250712T0243
binarySearch,50000000,0.08495200000001546,20250712T0243
binarySearch,100000000,0.01254999999997608,20250712T0243
binarySearch,200000000,0.012272000000052685,20250712T0243
binarySearch,300000000,0.02140899999994872,20250712T0243
binarySearch,400000000,0.011124000000108936,20250712T0243
binarySearch,500000000,0.012940000000526197,20250712T0243
binarySearch,600000000,0.012604000000465021,20250712T0243
binarySearch,700000000,0.01244100000076287,20250712T0243
binarySearch,800000000,0.012930000000778819,20250712T0243
binarySearch,900000000,0.012674999999944703,20250712T0243
binarySearch,1000000000,0.01246999999966647,20250712T0243
binarySearch,10000000,0.06281200000000098,20250712T0243
binarySearch,50000000,0.07361499999998955,20250712T0243
binarySearch,100000000,0.01000800000002755,20250712T0243
binarySearch,200000000,0.018280000000004293,20250712T0243
binarySearch,300000000,0.0204590000000735,20250712T0243
binarySearch,400000000,0.011195000000043365,20250712T0243
binarySearch,500000000,0.012817000000268308,20250712T0243
binarySearch,600000000,0.011410000000068976,20250712T0243
binarySearch,700000000,0.012117000000216649,20250712T0243
binarySearch,800000000,0.011038999999072985,20250712T0243
binarySearch,900000000,0.011372999999366584,20250712T0243
binarySearch,1000000000,0.014960000000428408,20250712T0243
binarySearch,10000000,0.06291099999999972,20250712T0243
binarySearch,50000000,0.06986699999998791,20250712T0243
binarySearch,100000000,0.01254799999998113,20250712T0243
binarySearch,200000000,0.011773000000061984,20250712T0243
binarySearch,300000000,0.02254799999991519,20250712T0243
binarySearch,400000000,0.012433999999757361,20250712T0243
binarySearch,500000000,0.011492999999973108,20250712T0243
binarySearch,600000000,0.012512999999671592,20250712T0243
binarySearch,700000000,0.011948999999731313,20250712T0243
binarySearch,800000000,0.012467000000469852,20250712T0243
binarySearch,900000000,0.012612000000444823,20250712T0243
binarySearch,1000000000,0.01204900000084308,20250712T0243
binarySearch,10000000,0.06301399999999902,20250712T0244
binarySearch,50000000,0.09666999999998893,20250712T0244
binarySearch,100000000,0.010609000000044944,20250712T0244
binarySearch,200000000,0.01236299999993662,20250712T0244
binarySearch,300000000,0.021365999999943597,20250712T0244
binarySearch,400000000,0.009702000000288535,20250712T0244
binarySearch,500000000,0.011979000000337692,20250712T0244
binarySearch,600000000,0.011948000000302272,20250712T0244
binarySearch,700000000,0.012052000000039698,20250712T0244
binarySearch,800000000,0.012050000001181616,20250712T0244
binarySearch,900000000,0.011911999999938416,20250712T0244
binarySearch,1000000000,0.013868000000002212,20250712T0244
binarySearch,10000000,0.06248899999999935,20250712T0244
binarySearch,50000000,0.08486999999999512,20250712T0244
binarySearch,100000000,0.012655999999992673,20250712T0244
binarySearch,200000000,0.010341999999923246,20250712T0244
binarySearch,300000000,0.02035699999987628,20250712T0244
binarySearch,400000000,0.009940999999798805,20250712T0244
binarySearch,500000000,0.012091000000054919,20250712T0244
binarySearch,600000000,0.012096000000383356,20250712T0244
binarySearch,700000000,0.012133999999605294,20250712T0244
binarySearch,800000000,0.01209999999991851,20250712T0244
binarySearch,900000000,0.01209000000017113,20250712T0244
binarySearch,1000000000,0.011838000000352622,20250712T0244
