Algorithm,Input,Time,Date
bubbleSort,10000,71.690898,20250711T0449
bubbleSort,25000,397.25744399999996,20250711T0449
bubbleSort,50000,1573.333348,20250711T0449
bubbleSort,75000,3539.2086019999997,20250711T0449
bubbleSort,100000,6290.3114350000005,20250711T0449
bubbleSort,125000,9826.605989000002,20250711T0449
bubbleSort,150000,14148.588510000001,20250711T0449
bubbleSort,175000,20129.874858000003,20250711T0449
bubbleSort,200000,28306.903994999993,20250711T0449
bubbleSort,10000,85.620265,20250711T0450
bubbleSort,25000,425.07412600000004,20250711T0450
bubbleSort,50000,1759.8530329999999,20250711T0450
bubbleSort,75000,4012.1231549999998,20250711T0450
bubbleSort,100000,7194.669814000001,20250711T0450
bubbleSort,125000,11272.295145,20250711T0450
bubbleSort,150000,16325.804483,20250711T0450
bubbleSort,175000,22302.744882,20250711T0450
bubbleSort,200000,28468.266087999997,20250711T0450
bubbleSort,10000,83.766346,20250711T0452
bubbleSort,25000,482.054991,20250711T0452
bubbleSort,50000,1588.6708589999998,20250711T0452
bubbleSort,75000,3591.36433,20250711T0452
bubbleSort,100000,6404.547916,20250711T0452
bubbleSort,125000,10093.348623999998,20250711T0452
bubbleSort,150000,14589.671137000001,20250711T0452
bubbleSort,175000,19942.879541000002,20250711T0452
bubbleSort,200000,26098.134736,20250711T0452
bubbleSort,10000,69.284195,20250712T0354
bubbleSort,25000,395.112491,20250712T0354
bubbleSort,50000,1594.340831,20250712T0354
bubbleSort,75000,3600.830199,20250712T0354
bubbleSort,100000,6430.932651,20250712T0354
bubbleSort,125000,10093.631223,20250712T0354
bubbleSort,150000,14646.164787999998,20250712T0354
bubbleSort,175000,21067.995187,20250712T0354
bubbleSort,200000,29409.603446999994,20250712T0354
bubbleSort,10000,70.019605,20250712T0356
bubbleSort,25000,396.135224,20250712T0356
bubbleSort,50000,1594.0753629999997,20250712T0356
bubbleSort,75000,3602.00513,20250712T0356
bubbleSort,100000,6418.994453,20250712T0356
bubbleSort,125000,10078.196510000002,20250712T0356
bubbleSort,150000,14543.297221000004,20250712T0356
bubbleSort,175000,19891.287775000004,20250712T0356
bubbleSort,200000,29012.282683000005,20250712T0356
bubbleSort,10000,83.55076100000001,20250712T0357
bubbleSort,25000,482.711678,20250712T0357
bubbleSort,50000,1591.7962340000001,20250712T0357
bubbleSort,75000,3815.063361,20250712T0357
bubbleSort,100000,7168.104081999999,20250712T0357
bubbleSort,125000,11233.978779000001,20250712T0357
bubbleSort,150000,16253.978151,20250712T0357
bubbleSort,175000,21215.146645999994,20250712T0357
bubbleSort,200000,26170.483986,20250712T0357
bubbleSort,10000,70.546754,20250712T0359
bubbleSort,25000,395.265641,20250712T0359
bubbleSort,50000,1588.2206540000002,20250712T0359
bubbleSort,75000,3592.624231,20250712T0359
bubbleSort,100000,6441.570367999999,20250712T0359
bubbleSort,125000,10095.773008,20250712T0359
bubbleSort,150000,14583.957703,20250712T0359
bubbleSort,175000,19878.986953,20250712T0359
bubbleSort,200000,26160.602665,20250712T0359
bubbleSort,10000,84.546608,20250712T0400
bubbleSort,25000,483.360169,20250712T0400
bubbleSort,50000,1591.510768,20250712T0400
bubbleSort,75000,3600.862076,20250712T0400
bubbleSort,100000,6432.123396000001,20250712T0400
bubbleSort,125000,10100.681967,20250712T0400
bubbleSort,150000,14595.520224,20250712T0400
bubbleSort,175000,19951.760459000005,20250712T0400
bubbleSort,200000,26115.240082000004,20250712T0400
bubbleSort,10000,70.499729,20250712T0401
bubbleSort,25000,395.030708,20250712T0401
bubbleSort,50000,1571.8397219999997,20250712T0401
bubbleSort,75000,3543.200544,20250712T0401
bubbleSort,100000,6288.920247,20250712T0401
bubbleSort,125000,9827.511998,20250712T0401
bubbleSort,150000,14287.197753999997,20250712T0401
bubbleSort,175000,21686.580432999996,20250712T0401
bubbleSort,200000,27607.261160000002,20250712T0401
bubbleSort,10000,69.789901,20250712T0403
bubbleSort,25000,394.917798,20250712T0403
bubbleSort,50000,1593.2450059999999,20250712T0403
bubbleSort,75000,3918.85519,20250712T0403
bubbleSort,100000,7162.589117999999,20250712T0403
bubbleSort,125000,11193.081243999999,20250712T0403
bubbleSort,150000,16200.188589000001,20250712T0403
bubbleSort,175000,21476.240954,20250712T0403
bubbleSort,200000,26168.650428,20250712T0403
bubbleSort,10000,70.981871,20250712T0404
bubbleSort,25000,395.05316300000004,20250712T0404
bubbleSort,50000,1573.581769,20250712T0404
bubbleSort,75000,3784.797926,20250712T0404
bubbleSort,100000,7023.88243,20250712T0404
bubbleSort,125000,10933.289371,20250712T0404
bubbleSort,150000,14453.673772000002,20250712T0404
bubbleSort,175000,19258.864255,20250712T0404
bubbleSort,200000,25156.153862999992,20250712T0404
bubbleSort,10000,83.577141,20250712T0406
bubbleSort,25000,481.032132,20250712T0406
bubbleSort,50000,1591.8995869999999,20250712T0406
bubbleSort,75000,3604.337412,20250712T0406
bubbleSort,100000,6447.034204,20250712T0406
bubbleSort,125000,10108.155458000001,20250712T0406
bubbleSort,150000,14635.987999999998,20250712T0406
bubbleSort,175000,19955.258261999996,20250712T0406
bubbleSort,200000,26184.087719000003,20250712T0406
bubbleSort,10000,70.989768,20250712T0407
bubbleSort,25000,396.52749,20250712T0407
bubbleSort,50000,1590.181275,20250712T0407
bubbleSort,75000,3596.5514599999997,20250712T0407
bubbleSort,100000,6437.535737000001,20250712T0407
bubbleSort,125000,10100.810512000002,20250712T0407
bubbleSort,150000,14596.001859999997,20250712T0407
bubbleSort,175000,20900.78781,20250712T0407
bubbleSort,200000,29325.741921999994,20250712T0407
bubbleSort,10000,82.82191800000001,20250712T1005
bubbleSort,25000,480.906529,20250712T1005
bubbleSort,50000,1593.737172,20250712T1005
bubbleSort,75000,3604.165445,20250712T1005
bubbleSort,100000,6436.131448,20250712T1005
bubbleSort,125000,10112.137493,20250712T1005
bubbleSort,150000,14596.856856000002,20250712T1005
bubbleSort,175000,20018.386656999995,20250712T1005
bubbleSort,200000,28100.266805999992,20250712T1005
bubbleSort,10000,69.267594,20250712T1007
bubbleSort,25000,395.02574400000003,20250712T1007
bubbleSort,50000,1589.2379480000002,20250712T1007
bubbleSort,75000,3588.4123359999994,20250712T1007
bubbleSort,100000,6425.870734000001,20250712T1007
bubbleSort,125000,10068.916369,20250712T1007
bubbleSort,150000,14596.256937999999,20250712T1007
bubbleSort,175000,19943.236517000005,20250712T1007
bubbleSort,200000,26112.009811999997,20250712T1007
bubbleSort,10000,69.218368,20250712T1008
bubbleSort,25000,396.039439,20250712T1008
bubbleSort,50000,1596.0393519999998,20250712T1008
bubbleSort,75000,3600.4577690000006,20250712T1008
bubbleSort,100000,6435.4816470000005,20250712T1008
bubbleSort,125000,10087.587458999998,20250712T1008
bubbleSort,150000,14634.694185000004,20250712T1008
bubbleSort,175000,19959.075809,20250712T1008
bubbleSort,200000,26440.144563,20250712T1008
bubbleSort,10000,69.210436,20250713T0416
bubbleSort,25000,393.00000600000004,20250713T0416
bubbleSort,50000,1572.4290429999999,20250713T0416
bubbleSort,75000,3581.4859000000006,20250713T0416
bubbleSort,100000,6939.611279,20250713T0416
bubbleSort,125000,10856.964140000002,20250713T0416
bubbleSort,150000,15619.329499000003,20250713T0416
bubbleSort,175000,21107.668320000004,20250713T0416
bubbleSort,200000,25154.798496000003,20250713T0416
bubbleSort,10000,69.181142,20250713T0417
bubbleSort,25000,416.211691,20250713T0417
bubbleSort,50000,1737.057833,20250713T0417
bubbleSort,75000,3920.7253509999996,20250713T0417
bubbleSort,100000,6969.534626,20250713T0417
bubbleSort,125000,10881.511025,20250713T0417
bubbleSort,150000,15613.038808999998,20250713T0417
bubbleSort,175000,19262.425127000002,20250713T0417
bubbleSort,200000,25154.153028,20250713T0417
bubbleSort,10000,69.417489,20250713T0419
bubbleSort,25000,420.439489,20250713T0419
bubbleSort,50000,1762.811562,20250713T0419
bubbleSort,75000,4015.2821310000004,20250713T0419
bubbleSort,100000,6623.954822,20250713T0419
bubbleSort,125000,10079.332822,20250713T0419
bubbleSort,150000,14605.015044000003,20250713T0419
bubbleSort,175000,19955.763543,20250713T0419
bubbleSort,200000,27868.643074,20250713T0419
bubbleSort,10000,82.85126,20250713T0420
bubbleSort,25000,393.02390099999997,20250713T0420
bubbleSort,50000,1572.6314360000001,20250713T0420
bubbleSort,75000,3537.201658,20250713T0420
