Algorithm,Input,Time,Date
bubbleSort,10000,164.20000004768372,20250712T2328
bubbleSort,25000,968.8000000119209,20250712T2328
bubbleSort,50000,3875.400000035763,20250712T2328
bubbleSort,75000,8738.600000023842,20250712T2328
bubbleSort,100000,15541.899999976158,20250712T2328
bubbleSort,125000,24230.799999952316,20250712T2328
bubbleSort,150000,35889.40000003576,20250712T2328
bubbleSort,175000,47479.59999996424,20250712T2328
bubbleSort,200000,62052,20250712T2328
bubbleSort,10000,160,20250721T1836
bubbleSort,25000,974.7000000029802,20250721T1836
bubbleSort,50000,3894.2999999970198,20250721T1836
bubbleSort,75000,8770.59999999404,20250721T1836
bubbleSort,100000,15616.40000000596,20250721T1836
bubbleSort,125000,24652.09999999404,20250721T1836
bubbleSort,150000,36706.79999999702,20250721T1836
bubbleSort,175000,48147.19999998808,20250721T1836
bubbleSort,200000,63519.70000000298,20250721T1836
