Algorithm,Input,Time,Date
bubbleSort,10000,123,20250712T2338
bubbleSort,25000,788.8000000119209,20250712T2338
bubbleSort,50000,3178.800000011921,20250712T2338
bubbleSort,75000,7195.099999964237,20250712T2338
bubbleSort,100000,12822.099999964237,20250712T2338
bubbleSort,125000,19991.600000023842,20250712T2338
bubbleSort,150000,26218.100000023842,20250712T2338
bubbleSort,175000,34465.69999998808,20250712T2338
bubbleSort,200000,50557.40000003576,20250712T2338
bubbleSort,10000,120,20250721T1852
bubbleSort,25000,708.9000000059605,20250721T1852
bubbleSort,50000,2835.5,20250721T1852
bubbleSort,75000,6364.4000000059605,20250721T1852
bubbleSort,100000,11340.90000000596,20250721T1852
bubbleSort,125000,20488.79999999702,20250721T1852
bubbleSort,150000,25959.29999999702,20250721T1852
bubbleSort,175000,35156,20250721T1852
bubbleSort,200000,45665.59999999404,20250721T1852
