Algorithm,Input,Time,Date
bubbleSort,10000,72.986477,20250711T0429
bubbleSort,25000,484.64430899999996,20250711T0429
bubbleSort,50000,1965.909136,20250711T0429
bubbleSort,75000,4419.528514,20250711T0429
bubbleSort,100000,7848.920206999999,20250711T0429
bubbleSort,125000,12278.706113999999,20250711T0429
bubbleSort,150000,17587.614492000004,20250711T0429
bubbleSort,175000,21440.85174,20250711T0429
bubbleSort,200000,28021.857606999998,20250711T0429
bubbleSort,10000,73.36225900000001,20250711T0430
bubbleSort,25000,441.2025060000001,20250711T0430
bubbleSort,50000,1748.21457,20250711T0430
bubbleSort,75000,3940.386398,20250711T0430
bubbleSort,100000,6991.982565000001,20250711T0430
bubbleSort,125000,10931.156537000003,20250711T0430
bubbleSort,150000,15743.897914999998,20250711T0430
bubbleSort,175000,23278.731764000004,20250711T0430
bubbleSort,200000,28538.758887000004,20250711T0430
bubbleSort,10000,74.057983,20250711T0432
bubbleSort,25000,440.467268,20250711T0432
bubbleSort,50000,1749.121004,20250711T0432
bubbleSort,75000,3937.078234,20250711T0432
bubbleSort,100000,6993.508766999999,20250711T0432
bubbleSort,125000,10931.503292000001,20250711T0432
bubbleSort,150000,16431.414545,20250711T0432
bubbleSort,175000,24323.098402999996,20250711T0432
bubbleSort,200000,31472.636004000007,20250711T0432
bubbleSort,10000,75.43096700000001,20250712T0246
bubbleSort,25000,500.32727,20250712T0246
bubbleSort,50000,1771.957739,20250712T0246
bubbleSort,75000,3936.3001939999995,20250712T0246
bubbleSort,100000,6994.065616000001,20250712T0246
bubbleSort,125000,10934.558844999998,20250712T0246
bubbleSort,150000,15743.606915999997,20250712T0246
bubbleSort,175000,22054.466817,20250712T0246
bubbleSort,200000,29688.764267,20250712T0246
bubbleSort,10000,73.44363100000001,20250712T0248
bubbleSort,25000,440.49755999999996,20250712T0248
bubbleSort,50000,1751.0636,20250712T0248
bubbleSort,75000,3938.1355030000004,20250712T0248
bubbleSort,100000,6994.5366109999995,20250712T0248
bubbleSort,125000,10933.906758000001,20250712T0248
bubbleSort,150000,15801.45682,20250712T0248
bubbleSort,175000,21652.619669,20250712T0248
bubbleSort,200000,28852.541019000004,20250712T0248
bubbleSort,10000,72.76105000000001,20250712T0249
bubbleSort,25000,439.40175999999997,20250712T0249
bubbleSort,50000,1749.1024089999999,20250712T0249
bubbleSort,75000,3937.216492,20250712T0249
bubbleSort,100000,7002.734171,20250712T0249
bubbleSort,125000,10931.978484,20250712T0249
bubbleSort,150000,15748.003729999997,20250712T0249
bubbleSort,175000,21435.858432,20250712T0249
bubbleSort,200000,27992.998639999998,20250712T0249
bubbleSort,10000,74.532509,20250712T0251
bubbleSort,25000,440.25461399999995,20250712T0251
bubbleSort,50000,1750.64298,20250712T0251
bubbleSort,75000,3967.355617,20250712T0251
bubbleSort,100000,7578.729436,20250712T0251
bubbleSort,125000,12423.852069,20250712T0251
bubbleSort,150000,15754.683603999998,20250712T0251
bubbleSort,175000,21436.426860000007,20250712T0251
bubbleSort,200000,28583.533058999994,20250712T0251
bubbleSort,10000,73.698927,20250712T0252
bubbleSort,25000,495.31438599999996,20250712T0252
bubbleSort,50000,1994.900759,20250712T0252
