Algorithm,Input,Time,Date
bubbleSort,10000,70.795962,20250711T0547
bubbleSort,25000,437.99848800000007,20250711T0547
bubbleSort,50000,1749.8219550000001,20250711T0547
bubbleSort,75000,3936.253584,20250711T0547
bubbleSort,100000,6986.368651999999,20250711T0547
bubbleSort,125000,10917.664767,20250711T0547
bubbleSort,150000,15727.906306999997,20250711T0547
bubbleSort,175000,21396.612677999998,20250711T0547
bubbleSort,200000,27946.589049999995,20250711T0547
bubbleSort,10000,70.870703,20250711T0548
bubbleSort,25000,438.60441000000003,20250711T0548
bubbleSort,50000,1748.462041,20250711T0548
bubbleSort,75000,3934.217467,20250711T0548
bubbleSort,100000,6985.764025,20250711T0548
bubbleSort,125000,10918.090877999999,20250711T0548
bubbleSort,150000,15732.605048999998,20250711T0548
bubbleSort,175000,21405.107485,20250711T0548
bubbleSort,200000,27947.548169999995,20250711T0548
bubbleSort,10000,70.4446,20250711T0550
bubbleSort,25000,439.020223,20250711T0550
bubbleSort,50000,1748.958158,20250711T0550
bubbleSort,75000,3940.0795970000004,20250711T0550
bubbleSort,100000,6988.259124,20250711T0550
bubbleSort,125000,11591.498869000001,20250711T0550
bubbleSort,150000,18268.710271,20250711T0550
bubbleSort,175000,24603.690065000003,20250711T0550
bubbleSort,200000,29709.448141,20250711T0550
bubbleSort,10000,70.738505,20250712T0706
bubbleSort,25000,436.6255729999999,20250712T0706
bubbleSort,50000,1746.5207919999998,20250712T0706
bubbleSort,75000,3929.426061,20250712T0706
bubbleSort,100000,6986.066122999999,20250712T0706
bubbleSort,125000,10917.290664000002,20250712T0706
bubbleSort,150000,15723.420202000001,20250712T0706
bubbleSort,175000,22880.358062,20250712T0706
bubbleSort,200000,31342.790882999994,20250712T0706
bubbleSort,10000,70.096432,20250712T0708
bubbleSort,25000,436.545742,20250712T0708
bubbleSort,50000,1746.4116559999998,20250712T0708
bubbleSort,75000,3929.3558169999997,20250712T0708
bubbleSort,100000,6985.672654000001,20250712T0708
bubbleSort,125000,10917.836219,20250712T0708
