Algorithm,Input,Time,Date
bubbleSort,10000,185.602108,20250711T0518
bubbleSort,25000,567.551367,20250711T0518
bubbleSort,50000,1937.1161539999998,20250711T0518
bubbleSort,75000,4331.268127,20250711T0518
bubbleSort,100000,7695.159707000001,20250711T0518
bubbleSort,125000,12026.202713,20250711T0518
bubbleSort,150000,17327.727078999997,20250711T0518
bubbleSort,175000,23557.315965999995,20250711T0518
bubbleSort,200000,34285.067545,20250711T0518
bubbleSort,10000,171.660934,20250711T0520
bubbleSort,25000,486.855551,20250711T0520
bubbleSort,50000,1926.9359180000001,20250711T0520
bubbleSort,75000,4334.975317,20250711T0520
bubbleSort,100000,7697.828461,20250711T0520
bubbleSort,125000,12022.21793,20250711T0520
bubbleSort,150000,18768.082281,20250711T0520
bubbleSort,175000,27309.942054999992,20250711T0520
bubbleSort,200000,33974.72381299999,20250711T0520
bubbleSort,10000,171.21362200000002,20250711T0522
bubbleSort,25000,483.96432699999997,20250711T0522
bubbleSort,50000,1926.5365700000002,20250711T0522
bubbleSort,75000,4333.347503999999,20250711T0522
bubbleSort,100000,7695.211375999999,20250711T0522
bubbleSort,125000,12025.569492,20250711T0522
bubbleSort,150000,17317.846305000003,20250711T0522
bubbleSort,175000,23554.099165,20250711T0522
bubbleSort,200000,30777.47660699999,20250711T0522
bubbleSort,10000,185.29546,20250712T0531
bubbleSort,25000,561.7511179999999,20250712T0531
bubbleSort,50000,2235.44011,20250712T0531
bubbleSort,75000,4988.226847,20250712T0531
bubbleSort,100000,8817.41071,20250712T0531
bubbleSort,125000,13692.576402000002,20250712T0531
bubbleSort,150000,18344.162444,20250712T0531
bubbleSort,175000,25864.620943,20250712T0531
bubbleSort,200000,31866.319621000002,20250712T0531
bubbleSort,10000,180.356801,20250712T0533
bubbleSort,25000,548.877737,20250712T0533
bubbleSort,50000,2181.369944,20250712T0533
bubbleSort,75000,4374.835953,20250712T0533
bubbleSort,100000,8460.451105,20250712T0533
bubbleSort,125000,13629.135925,20250712T0533
bubbleSort,150000,19519.999473,20250712T0533
bubbleSort,175000,25974.11916000001,20250712T0533
bubbleSort,200000,30758.723912999994,20250712T0533
bubbleSort,10000,171.535428,20250712T0535
bubbleSort,25000,484.95358699999997,20250712T0535
bubbleSort,50000,1926.9117199999996,20250712T0535
bubbleSort,75000,4333.263904,20250712T0535
bubbleSort,100000,7695.206649000001,20250712T0535
bubbleSort,125000,12318.397341,20250712T0535
bubbleSort,150000,19751.399151,20250712T0535
bubbleSort,175000,26565.968384999993,20250712T0535
bubbleSort,200000,32171.291559999998,20250712T0535
bubbleSort,10000,171.88729,20250712T0537
bubbleSort,25000,489.14833699999997,20250712T0537
bubbleSort,50000,1927.2567520000002,20250712T0537
bubbleSort,75000,4331.776495,20250712T0537
bubbleSort,100000,7695.070438000001,20250712T0537
bubbleSort,125000,12020.157751,20250712T0537
bubbleSort,150000,17905.73057,20250712T0537
bubbleSort,175000,26777.496083000005,20250712T0537
bubbleSort,200000,34086.877777999995,20250712T0537
bubbleSort,10000,172.566624,20250712T0538
bubbleSort,25000,488.31315099999995,20250712T0538
bubbleSort,50000,1927.8630710000002,20250712T0538
bubbleSort,75000,4334.993957000001,20250712T0538
bubbleSort,100000,7697.501500999999,20250712T0538
bubbleSort,125000,12021.03472,20250712T0538
bubbleSort,150000,17314.990575,20250712T0538
bubbleSort,175000,23548.38048,20250712T0538
bubbleSort,200000,30760.392296000005,20250712T0538
bubbleSort,10000,171.751519,20250712T0540
bubbleSort,25000,486.99791899999997,20250712T0540
bubbleSort,50000,1926.215179,20250712T0540
bubbleSort,75000,4333.753557,20250712T0540
bubbleSort,100000,7695.049788999999,20250712T0540
bubbleSort,125000,13528.206214000002,20250712T0540
bubbleSort,150000,19632.913157000003,20250712T0540
bubbleSort,175000,26533.694965000002,20250712T0540
bubbleSort,200000,31137.148155000003,20250712T0540
bubbleSort,10000,185.82243,20250712T0542
bubbleSort,25000,552.0771950000001,20250712T0542
bubbleSort,50000,2186.093196,20250712T0542
bubbleSort,75000,4904.100571999999,20250712T0542
bubbleSort,100000,8689.207408,20250712T0542
bubbleSort,125000,13529.749687,20250712T0542
bubbleSort,150000,17488.065649999997,20250712T0542
bubbleSort,175000,23557.514857000002,20250712T0542
bubbleSort,200000,32050.267034000004,20250712T0542
bubbleSort,10000,179.637053,20250712T0544
bubbleSort,25000,545.4034780000001,20250712T0544
bubbleSort,50000,2175.560866,20250712T0544
bubbleSort,75000,4884.587466999999,20250712T0544
bubbleSort,100000,8663.358939000002,20250712T0544
bubbleSort,125000,13523.559220000003,20250712T0544
bubbleSort,150000,19426.528045,20250712T0544
bubbleSort,175000,24724.737983,20250712T0544
bubbleSort,200000,33293.626229,20250712T0544
bubbleSort,10000,178.208047,20250712T0545
bubbleSort,25000,544.0054339999999,20250712T0545
bubbleSort,50000,1980.476689,20250712T0545
bubbleSort,75000,4333.01394,20250712T0545
bubbleSort,100000,7694.7031289999995,20250712T0545
bubbleSort,125000,12019.798731,20250712T0545
bubbleSort,150000,17315.124336,20250712T0545
bubbleSort,175000,23548.14847,20250712T0545
bubbleSort,200000,33597.30367699999,20250712T0545
bubbleSort,10000,172.112402,20250712T0547
bubbleSort,25000,486.134766,20250712T0547
bubbleSort,50000,1926.7233180000003,20250712T0547
bubbleSort,75000,4332.864976,20250712T0547
bubbleSort,100000,7694.59885,20250712T0547
bubbleSort,125000,12809.108429,20250712T0547
bubbleSort,150000,19548.049501,20250712T0547
bubbleSort,175000,26466.402866000004,20250712T0547
bubbleSort,200000,31721.339701000004,20250712T0547
bubbleSort,10000,171.337425,20250712T1034
bubbleSort,25000,483.10328100000004,20250712T1034
bubbleSort,50000,1926.177208,20250712T1034
bubbleSort,75000,4351.678538,20250712T1034
bubbleSort,100000,7781.959835999999,20250712T1034
bubbleSort,125000,12222.289557000002,20250712T1034
bubbleSort,150000,17618.816923,20250712T1034
bubbleSort,175000,23637.193124000005,20250712T1034
bubbleSort,200000,30764.130191999997,20250712T1034
bubbleSort,10000,171.683395,20250712T1036
bubbleSort,25000,483.048789,20250712T1036
bubbleSort,50000,1926.119835,20250712T1036
bubbleSort,75000,4333.1672960000005,20250712T1036
bubbleSort,100000,7695.123424,20250712T1036
bubbleSort,125000,12025.113591,20250712T1036
bubbleSort,150000,17323.507991000002,20250712T1036
bubbleSort,175000,23558.549848000002,20250712T1036
bubbleSort,200000,33674.330023,20250712T1036
bubbleSort,10000,170.866219,20250712T1038
bubbleSort,25000,483.73984900000005,20250712T1038
bubbleSort,50000,1927.121894,20250712T1038
bubbleSort,75000,4332.790013,20250712T1038
bubbleSort,100000,7759.194265000001,20250712T1038
bubbleSort,125000,12229.7214,20250712T1038
bubbleSort,150000,20110.139344000003,20250712T1038
bubbleSort,175000,27030.974604999996,20250712T1038
bubbleSort,200000,31336.820858000006,20250712T1038
bubbleSort,10000,170.50967500000002,20250713T0533
bubbleSort,25000,483.49944200000004,20250713T0533
bubbleSort,50000,1926.6280140000003,20250713T0533
bubbleSort,75000,4329.434682,20250713T0533
bubbleSort,100000,7696.131355999999,20250713T0533
bubbleSort,125000,12022.755970000002,20250713T0533
bubbleSort,150000,17320.754240000002,20250713T0533
bubbleSort,175000,23711.791964999997,20250713T0533
bubbleSort,200000,31623.821186,20250713T0533
bubbleSort,10000,170.81449800000001,20250713T0535
bubbleSort,25000,483.139909,20250713T0535
bubbleSort,50000,1926.10842,20250713T0535
bubbleSort,75000,4329.037887,20250713T0535
bubbleSort,100000,7696.060544,20250713T0535
bubbleSort,125000,12022.623605,20250713T0535
bubbleSort,150000,17322.390252999998,20250713T0535
bubbleSort,175000,23565.373855000005,20250713T0535
bubbleSort,200000,30776.557482000004,20250713T0535
bubbleSort,10000,171.16087,20250713T0537
bubbleSort,25000,483.01206199999996,20250713T0537
bubbleSort,50000,1926.5670949999999,20250713T0537
bubbleSort,75000,4331.13816,20250713T0537
bubbleSort,100000,7695.544933000001,20250713T0537
bubbleSort,125000,12236.434754000002,20250713T0537
bubbleSort,150000,17829.683225999997,20250713T0537
bubbleSort,175000,24223.185012,20250713T0537
bubbleSort,200000,31954.49729,20250713T0537
bubbleSort,10000,170.82886299999998,20250713T0538
bubbleSort,25000,483.672503,20250713T0538
bubbleSort,50000,1927.279438,20250713T0538
bubbleSort,75000,4330.694029,20250713T0538
bubbleSort,100000,7698.86416,20250713T0538
bubbleSort,125000,12026.366297,20250713T0538
bubbleSort,150000,17324.961897999998,20250713T0538
bubbleSort,175000,23555.92622,20250713T0538
bubbleSort,200000,30772.622424999994,20250713T0538
bubbleSort,10000,183.251509,20250713T0540
bubbleSort,25000,560.0133599999999,20250713T0540
bubbleSort,50000,2261.274815,20250713T0540
bubbleSort,75000,5070.593983999999,20250713T0540
bubbleSort,100000,8954.852944000002,20250713T0540
bubbleSort,125000,13919.757120999999,20250713T0540
bubbleSort,150000,19921.855878000002,20250713T0540
bubbleSort,175000,24185.534753,20250713T0540
bubbleSort,200000,30760.085408,20250713T0540
bubbleSort,10000,170.850005,20250713T0542
bubbleSort,25000,482.94809999999995,20250713T0542
bubbleSort,50000,1925.971559,20250713T0542
bubbleSort,75000,4329.475858,20250713T0542
bubbleSort,100000,7698.263537000001,20250713T0542
bubbleSort,125000,12023.335256,20250713T0542
bubbleSort,150000,17790.945666,20250713T0542
bubbleSort,175000,27009.486451999997,20250713T0542
bubbleSort,200000,31055.299469999998,20250713T0542
bubbleSort,10000,170.83188,20250713T0544
bubbleSort,25000,483.0977290000001,20250713T0544
bubbleSort,50000,1925.929871,20250713T0544
bubbleSort,75000,4328.98232,20250713T0544
bubbleSort,100000,7694.196715,20250713T0544
bubbleSort,125000,12019.667691000002,20250713T0544
bubbleSort,150000,19139.874890999996,20250713T0544
bubbleSort,175000,24833.499202000006,20250713T0544
bubbleSort,200000,30762.063154999996,20250713T0544
bubbleSort,10000,170.738364,20250713T0545
bubbleSort,25000,484.79399,20250713T0545
bubbleSort,50000,1946.988418,20250713T0545
bubbleSort,75000,4413.047734,20250713T0545
bubbleSort,100000,7872.871116,20250713T0545
bubbleSort,125000,12319.096117,20250713T0545
bubbleSort,150000,17496.556718999997,20250713T0545
bubbleSort,175000,26179.439888,20250713T0545
bubbleSort,200000,35403.470117000004,20250713T0545
