Algorithm,Input,Time,Date
bubbleSort,10000,60.0,20250713T0044
bubbleSort,25000,373.0,20250713T0044
bubbleSort,50000,1550.0,20250713T0044
bubbleSort,75000,3465.0,20250713T0044
bubbleSort,100000,5868.0,20250713T0044
bubbleSort,125000,8899.0,20250713T0044
bubbleSort,150000,13516.0,20250713T0044
bubbleSort,175000,18007.0,20250713T0044
bubbleSort,200000,22912.0,20250713T0044
bubbleSort,10000,64,20250721T1820
bubbleSort,25000,402,20250721T1820
bubbleSort,50000,1567,20250721T1820
bubbleSort,75000,3475,20250721T1820
bubbleSort,100000,6157,20250721T1820
bubbleSort,125000,9583,20250721T1820
bubbleSort,150000,13238,20250721T1820
bubbleSort,175000,18262,20250721T1820
bubbleSort,200000,23590,20250721T1820
