Algorithm,Input,Time,Date
bubbleSort,10000,46.0,20250713T0031
bubbleSort,25000,267.0,20250713T0031
bubbleSort,50000,1069.0,20250713T0031
bubbleSort,75000,2366.0,20250713T0031
bubbleSort,100000,4272.0,20250713T0031
bubbleSort,125000,7092.0,20250713T0031
bubbleSort,150000,9852.0,20250713T0031
bubbleSort,175000,12888.0,20250713T0031
bubbleSort,200000,16822.0,20250713T0031
bubbleSort,10000,51,20250721T1803
bubbleSort,25000,327,20250721T1803
bubbleSort,50000,1245,20250721T1803
bubbleSort,75000,2705,20250721T1803
bubbleSort,100000,4791,20250721T1803
bubbleSort,125000,7495,20250721T1803
bubbleSort,150000,10177,20250721T1803
bubbleSort,175000,12937,20250721T1803
bubbleSort,200000,16837,20250721T1803
