Algorithm,Input,Time,Date
bubbleSort,10000,66.248861,20250711T0555
bubbleSort,25000,405.853758,20250711T0555
bubbleSort,50000,1602.6272360000003,20250711T0555
bubbleSort,75000,3606.2529050000003,20250711T0555
bubbleSort,100000,6482.9133790000005,20250711T0555
bubbleSort,125000,10148.611101000002,20250711T0555
bubbleSort,150000,14593.915718000004,20250711T0555
bubbleSort,175000,19924.632761,20250711T0555
bubbleSort,200000,26017.696327999998,20250711T0555
bubbleSort,10000,66.00616499999998,20250711T0557
bubbleSort,25000,404.2247239999999,20250711T0557
bubbleSort,50000,1613.2160079999999,20250711T0557
bubbleSort,75000,3733.032409,20250711T0557
bubbleSort,100000,6660.857418999999,20250711T0557
bubbleSort,125000,10234.891378999999,20250711T0557
bubbleSort,150000,14635.038925999997,20250711T0557
bubbleSort,175000,19926.178087,20250711T0557
bubbleSort,200000,26042.704969,20250711T0557
bubbleSort,10000,66.75769799999999,20250711T0558
bubbleSort,25000,404.2390419999999,20250711T0558
bubbleSort,50000,1616.388042,20250711T0558
bubbleSort,75000,3655.1161380000003,20250711T0558
bubbleSort,100000,6492.293129,20250711T0558
bubbleSort,125000,10160.447932000001,20250711T0558
bubbleSort,150000,14641.703770000004,20250711T0558
bubbleSort,175000,19924.797033999996,20250711T0558
bubbleSort,200000,26024.93670800001,20250711T0558
bubbleSort,10000,66.191301,20250712T0735
bubbleSort,25000,404.629416,20250712T0735
bubbleSort,50000,1618.821628,20250712T0735
bubbleSort,75000,3651.3290570000004,20250712T0735
bubbleSort,100000,6498.208933,20250712T0735
bubbleSort,125000,10146.077686999999,20250712T0735
bubbleSort,150000,14617.757429000001,20250712T0735
bubbleSort,175000,19966.40122,20250712T0735
bubbleSort,200000,26508.325355,20250712T0735
bubbleSort,10000,66.18151200000001,20250712T0737
bubbleSort,25000,404.32442499999996,20250712T0737
bubbleSort,50000,1604.618278,20250712T0737
bubbleSort,75000,3655.298311,20250712T0737
bubbleSort,100000,6489.470026000001,20250712T0737
bubbleSort,125000,10143.283976,20250712T0737
bubbleSort,150000,14629.120095000002,20250712T0737
bubbleSort,175000,19919.527042,20250712T0737
bubbleSort,200000,26258.565135000004,20250712T0737
bubbleSort,10000,66.614882,20250712T0738
bubbleSort,25000,404.473422,20250712T0738
bubbleSort,50000,1618.083529,20250712T0738
bubbleSort,75000,3662.6682769999998,20250712T0738
bubbleSort,100000,6467.971177,20250712T0738
bubbleSort,125000,10155.004898000001,20250712T0738
bubbleSort,150000,14629.069810999998,20250712T0738
bubbleSort,175000,19915.010081,20250712T0738
bubbleSort,200000,26029.11339900001,20250712T0738
bubbleSort,10000,67.28828399999999,20250712T0740
bubbleSort,25000,406.431821,20250712T0740
bubbleSort,50000,1610.2096980000001,20250712T0740
bubbleSort,75000,3644.144775,20250712T0740
bubbleSort,100000,6487.30106,20250712T0740
bubbleSort,125000,10186.56754,20250712T0740
bubbleSort,150000,14810.028905,20250712T0740
bubbleSort,175000,20194.554451999997,20250712T0740
bubbleSort,200000,26328.511608999994,20250712T0740
bubbleSort,10000,67.093917,20250712T0741
bubbleSort,25000,425.0743970000001,20250712T0741
bubbleSort,50000,1617.134697,20250712T0741
bubbleSort,75000,3648.384392,20250712T0741
bubbleSort,100000,6549.451169000001,20250712T0741
bubbleSort,125000,10252.492484999999,20250712T0741
bubbleSort,150000,14788.88151,20250712T0741
bubbleSort,175000,20138.986177,20250712T0741
bubbleSort,200000,26030.024717,20250712T0741
bubbleSort,10000,66.21240700000001,20250712T0742
bubbleSort,25000,404.203207,20250712T0742
bubbleSort,50000,1618.805294,20250712T0742
bubbleSort,75000,3650.374333,20250712T0742
bubbleSort,100000,6496.305836,20250712T0742
bubbleSort,125000,10145.357773,20250712T0742
bubbleSort,150000,14681.464230000001,20250712T0742
bubbleSort,175000,20182.308066000005,20250712T0742
bubbleSort,200000,26434.212759000002,20250712T0742
bubbleSort,10000,66.19270900000001,20250712T0744
bubbleSort,25000,404.2487990000001,20250712T0744
bubbleSort,50000,1614.283581,20250712T0744
bubbleSort,75000,3645.8589599999996,20250712T0744
bubbleSort,100000,6493.378919,20250712T0744
bubbleSort,125000,10190.193008,20250712T0744
bubbleSort,150000,14841.853759000005,20250712T0744
bubbleSort,175000,20175.299314999997,20250712T0744
bubbleSort,200000,26180.277274999993,20250712T0744
bubbleSort,10000,66.17450899999999,20250712T0745
bubbleSort,25000,404.72841100000005,20250712T0745
bubbleSort,50000,1618.350488,20250712T0745
