Algorithm,Input,Time,Date
bubbleSort,10000,102.98006899999999,20250711T0505
bubbleSort,25000,309.847936,20250711T0505
bubbleSort,50000,1230.2238590000002,20250711T0505
bubbleSort,75000,2767.7044109999997,20250711T0505
bubbleSort,100000,4903.245047000001,20250711T0505
bubbleSort,125000,7662.878551999998,20250711T0505
bubbleSort,150000,11023.44056,20250711T0505
bubbleSort,175000,15004.659880000003,20250711T0505
bubbleSort,200000,19616.693778,20250711T0505
bubbleSort,10000,102.313693,20250711T0506
bubbleSort,25000,310.008645,20250711T0506
bubbleSort,50000,1228.7129949999999,20250711T0506
bubbleSort,75000,2771.183606,20250711T0506
bubbleSort,100000,4901.647674999999,20250711T0506
bubbleSort,125000,7659.056841,20250711T0506
bubbleSort,150000,11022.211368999997,20250711T0506
bubbleSort,175000,15006.043484000002,20250711T0506
bubbleSort,200000,19583.15023,20250711T0506
bubbleSort,10000,103.06986700000002,20250711T0507
bubbleSort,25000,309.39913900000005,20250711T0507
bubbleSort,50000,1227.22907,20250711T0507
bubbleSort,75000,2769.483932,20250711T0507
bubbleSort,100000,4904.843081,20250711T0507
bubbleSort,125000,7663.741214999998,20250711T0507
bubbleSort,150000,11102.1656,20250711T0507
bubbleSort,175000,16976.819942000002,20250711T0507
bubbleSort,200000,21549.432536,20250711T0507
bubbleSort,10000,102.50523600000001,20250712T0449
bubbleSort,25000,309.92483500000003,20250712T0449
bubbleSort,50000,1231.982695,20250712T0449
bubbleSort,75000,2766.732162,20250712T0449
bubbleSort,100000,4910.816822,20250712T0449
bubbleSort,125000,8617.585437000002,20250712T0449
bubbleSort,150000,11701.151858999998,20250712T0449
bubbleSort,175000,15010.879044000001,20250712T0449
bubbleSort,200000,19597.126538000004,20250712T0449
bubbleSort,10000,103.42548300000001,20250712T0450
bubbleSort,25000,309.26377899999994,20250712T0450
bubbleSort,50000,1336.1047330000001,20250712T0450
bubbleSort,75000,3100.81031,20250712T0450
bubbleSort,100000,5470.646096,20250712T0450
bubbleSort,125000,8510.261707000001,20250712T0450
bubbleSort,150000,12195.614107000001,20250712T0450
bubbleSort,175000,16543.492132999996,20250712T0450
bubbleSort,200000,20344.863368,20250712T0450
bubbleSort,10000,102.07416700000002,20250712T0451
bubbleSort,25000,308.460188,20250712T0451
bubbleSort,50000,1227.7280690000002,20250712T0451
bubbleSort,75000,2764.402167,20250712T0451
bubbleSort,100000,4901.380910999999,20250712T0451
bubbleSort,125000,7659.1154750000005,20250712T0451
bubbleSort,150000,11020.516629000002,20250712T0451
bubbleSort,175000,15003.131719,20250712T0451
bubbleSort,200000,21380.099066000002,20250712T0451
bubbleSort,10000,108.39967,20250712T0452
bubbleSort,25000,333.904097,20250712T0452
bubbleSort,50000,1338.758602,20250712T0452
bubbleSort,75000,3041.4787990000004,20250712T0452
bubbleSort,100000,5378.019584,20250712T0452
bubbleSort,125000,7684.900937000002,20250712T0452
bubbleSort,150000,11020.896065999998,20250712T0452
bubbleSort,175000,15002.976049,20250712T0452
bubbleSort,200000,19614.049726999998,20250712T0452
bubbleSort,10000,102.47065699999999,20250712T0453
bubbleSort,25000,310.05094,20250712T0453
bubbleSort,50000,1227.9254959999998,20250712T0453
bubbleSort,75000,2768.531672,20250712T0453
bubbleSort,100000,4901.147561,20250712T0453
bubbleSort,125000,7659.946313999999,20250712T0453
bubbleSort,150000,11020.580635999999,20250712T0453
bubbleSort,175000,15645.727644999995,20250712T0453
bubbleSort,200000,20710.210055000003,20250712T0453
bubbleSort,10000,102.28334199999999,20250712T0454
bubbleSort,25000,309.190244,20250712T0454
bubbleSort,50000,1228.31434,20250712T0454
bubbleSort,75000,2766.0967249999994,20250712T0454
bubbleSort,100000,4901.345858000001,20250712T0454
bubbleSort,125000,7659.2955189999975,20250712T0454
bubbleSort,150000,11019.897213,20250712T0454
bubbleSort,175000,15004.121455,20250712T0454
bubbleSort,200000,19582.797634000002,20250712T0454
bubbleSort,10000,102.990679,20250712T0455
bubbleSort,25000,309.075954,20250712T0455
bubbleSort,50000,1227.821981,20250712T0455
bubbleSort,75000,2765.027489,20250712T0455
bubbleSort,100000,4901.156642000001,20250712T0455
bubbleSort,125000,7659.563062000001,20250712T0455
bubbleSort,150000,11020.208542,20250712T0455
bubbleSort,175000,14999.736969000001,20250712T0455
bubbleSort,200000,19614.153158,20250712T0455
bubbleSort,10000,111.631888,20250712T0456
bubbleSort,25000,339.854648,20250712T0456
bubbleSort,50000,1359.934017,20250712T0456
bubbleSort,75000,3074.082055,20250712T0456
