Algorithm,Input,Time,Date
fibonacci,0,0,20250712T2312
fibonacci,1,0,20250712T2312
fibonacci,2,0,20250712T2312
fibonacci,3,0,20250712T2312
fibonacci,4,0,20250712T2312
fibonacci,5,0,20250712T2312
fibonacci,6,0.10000002384185791,20250712T2312
fibonacci,7,0,20250712T2312
fibonacci,8,0,20250712T2312
fibonacci,9,0.09999996423721313,20250712T2312
fibonacci,10,0,20250712T2312
fibonacci,11,0,20250712T2312
fibonacci,12,0,20250712T2312
fibonacci,13,0,20250712T2312
fibonacci,14,0.10000002384185791,20250712T2312
fibonacci,15,0,20250712T2312
fibonacci,16,0,20250712T2312
fibonacci,17,0,20250712T2312
fibonacci,18,0.19999998807907104,20250712T2312
fibonacci,19,0.10000002384185791,20250712T2312
fibonacci,20,0.30000001192092896,20250712T2312
fibonacci,21,0.5,20250712T2312
fibonacci,22,1,20250712T2312
fibonacci,23,1.300000011920929,20250712T2312
fibonacci,24,2.099999964237213,20250712T2312
fibonacci,25,1.5999999642372131,20250712T2312
fibonacci,26,2.100000023841858,20250712T2312
fibonacci,27,3.399999976158142,20250712T2312
fibonacci,28,5.700000047683716,20250712T2312
fibonacci,29,9.099999964237213,20250712T2312
fibonacci,30,14,20250712T2312
fibonacci,31,22.900000035762787,20250712T2312
fibonacci,32,46.09999996423721,20250712T2312
fibonacci,33,62.30000001192093,20250712T2312
fibonacci,34,103.80000001192093,20250712T2312
fibonacci,35,166.80000001192093,20250712T2312
fibonacci,36,267.19999998807907,20250712T2312
fibonacci,37,433.19999998807907,20250712T2312
fibonacci,38,707.5,20250712T2312
fibonacci,39,1141.6000000238419,20250712T2312
fibonacci,40,1862,20250712T2312
fibonacci,41,3066.199999988079,20250712T2312
fibonacci,42,4995,20250712T2312
fibonacci,43,8037.899999976158,20250712T2312
fibonacci,44,13008,20250712T2312
fibonacci,45,19045.30000001192,20250712T2312
fibonacci,46,34617.60000002384,20250712T2312
fibonacci,47,60277.40000003576,20250712T2312
fibonacci,48,95695.69999998808,20250712T2312
fibonacci,49,165225,20250712T2312
fibonacci,0,0,20250721T1833
fibonacci,1,0,20250721T1833
fibonacci,2,0,20250721T1833
fibonacci,3,0,20250721T1833
fibonacci,4,0,20250721T1833
fibonacci,5,0,20250721T1833
fibonacci,6,0,20250721T1833
fibonacci,7,0,20250721T1833
fibonacci,8,0,20250721T1833
fibonacci,9,0.09999999403953552,20250721T1833
fibonacci,10,0,20250721T1833
fibonacci,11,0.10000000894069672,20250721T1833
fibonacci,12,0,20250721T1833
fibonacci,13,0,20250721T1833
fibonacci,14,0,20250721T1833
fibonacci,15,0.09999999403953552,20250721T1833
fibonacci,16,0,20250721T1833
fibonacci,17,0.09999999403953552,20250721T1833
fibonacci,18,0,20250721T1833
fibonacci,19,0.20000000298023224,20250721T1833
fibonacci,20,0.09999999403953552,20250721T1833
fibonacci,21,0.20000000298023224,20250721T1833
fibonacci,22,0.3999999910593033,20250721T1833
fibonacci,23,0.800000011920929,20250721T1833
fibonacci,24,1.199999988079071,20250721T1833
fibonacci,25,1.800000011920929,20250721T1833
fibonacci,26,2.7999999970197678,20250721T1833
fibonacci,27,3.7000000029802322,20250721T1833
fibonacci,28,6.199999988079071,20250721T1833
fibonacci,29,10.900000005960464,20250721T1833
fibonacci,30,15.900000005960464,20250721T1833
fibonacci,31,25.19999998807907,20250721T1833
fibonacci,32,40.80000001192093,20250721T1833
fibonacci,33,68.3999999910593,20250721T1833
fibonacci,34,101.79999999701977,20250721T1833
fibonacci,35,165.1000000089407,20250721T1833
fibonacci,36,256.09999999403954,20250721T1833
fibonacci,37,406.29999999701977,20250721T1833
fibonacci,38,653.2000000029802,20250721T1833
fibonacci,39,1055.4000000059605,20250721T1833
fibonacci,40,1714.3999999910593,20250721T1833
fibonacci,41,2790.2000000029802,20250721T1833
fibonacci,42,4468,20250721T1833
fibonacci,43,7194.20000000298,20250721T1833
fibonacci,44,11767.40000000596,20250721T1833
fibonacci,45,19007.59999999404,20250721T1833
fibonacci,46,30670.60000000894,20250721T1833
fibonacci,47,65228.59999999404,20250721T1833
fibonacci,48,105725.60000000894,20250721T1833
fibonacci,49,157220,20250721T1833
