Algorithm,Input,Time,Date
fibonacci,0,0,20250712T2355
fibonacci,1,0,20250712T2355
fibonacci,2,0,20250712T2355
fibonacci,3,0,20250712T2355
fibonacci,4,0.09999996423721313,20250712T2355
fibonacci,5,0,20250712T2355
fibonacci,6,0,20250712T2355
fibonacci,7,0,20250712T2355
fibonacci,8,0,20250712T2355
fibonacci,9,0,20250712T2355
fibonacci,10,0,20250712T2355
fibonacci,11,0,20250712T2355
fibonacci,12,0,20250712T2355
fibonacci,13,0,20250712T2355
fibonacci,14,0,20250712T2355
fibonacci,15,0,20250712T2355
fibonacci,16,0.09999996423721313,20250712T2355
fibonacci,17,0,20250712T2355
fibonacci,18,0.10000002384185791,20250712T2355
fibonacci,19,0.19999998807907104,20250712T2355
fibonacci,20,0.30000001192092896,20250712T2355
fibonacci,21,0.19999998807907104,20250712T2355
fibonacci,22,0.6000000238418579,20250712T2355
fibonacci,23,0.8999999761581421,20250712T2355
fibonacci,24,1.300000011920929,20250712T2355
fibonacci,25,1.800000011920929,20250712T2355
fibonacci,26,2.800000011920929,20250712T2355
fibonacci,27,5.699999988079071,20250712T2355
fibonacci,28,7.5,20250712T2355
fibonacci,29,13.300000011920929,20250712T2355
fibonacci,30,19.799999952316284,20250712T2355
fibonacci,31,33,20250712T2355
fibonacci,32,50.90000003576279,20250712T2355
fibonacci,33,81.69999998807907,20250712T2355
fibonacci,34,132.19999998807907,20250712T2355
fibonacci,35,213.9000000357628,20250712T2355
fibonacci,36,345.69999998807907,20250712T2355
fibonacci,37,559.1999999880791,20250712T2355
fibonacci,38,902.8999999761581,20250712T2355
fibonacci,39,1461.6000000238419,20250712T2355
fibonacci,40,2369.800000011921,20250712T2355
fibonacci,41,3827.300000011921,20250712T2355
fibonacci,42,6178.899999976158,20250712T2355
fibonacci,43,10032.5,20250712T2355
fibonacci,44,16225,20250712T2355
fibonacci,45,26291.100000023842,20250712T2355
fibonacci,46,42613.69999998808,20250712T2355
fibonacci,47,68871.59999996424,20250712T2355
fibonacci,48,111689.30000001192,20250712T2355
fibonacci,49,181846.10000002384,20250712T2355
fibonacci,0,0.10000000894069672,20250721T1849
fibonacci,1,0,20250721T1849
fibonacci,2,0,20250721T1849
fibonacci,3,0,20250721T1849
fibonacci,4,0,20250721T1849
fibonacci,5,0,20250721T1849
fibonacci,6,0,20250721T1849
fibonacci,7,0,20250721T1849
fibonacci,8,0,20250721T1849
fibonacci,9,0,20250721T1849
fibonacci,10,0,20250721T1849
fibonacci,11,0,20250721T1849
fibonacci,12,0,20250721T1849
fibonacci,13,0,20250721T1849
fibonacci,14,0,20250721T1849
fibonacci,15,0.10000000894069672,20250721T1849
fibonacci,16,0,20250721T1849
fibonacci,17,0,20250721T1849
fibonacci,18,0,20250721T1849
fibonacci,19,0.29999999701976776,20250721T1849
fibonacci,20,0.09999999403953552,20250721T1849
fibonacci,21,0.4000000059604645,20250721T1849
fibonacci,22,0.29999999701976776,20250721T1849
fibonacci,23,0.7999999970197678,20250721T1849
fibonacci,24,1,20250721T1849
fibonacci,25,2.2999999970197678,20250721T1849
fibonacci,26,3.6000000089406967,20250721T1849
fibonacci,27,4.799999997019768,20250721T1849
fibonacci,28,7.5,20250721T1849
fibonacci,29,12.799999997019768,20250721T1849
fibonacci,30,20,20250721T1849
fibonacci,31,33,20250721T1849
fibonacci,32,53,20250721T1849
fibonacci,33,82.1000000089407,20250721T1849
fibonacci,34,132.8999999910593,20250721T1849
fibonacci,35,217.40000000596046,20250721T1849
fibonacci,36,347.79999999701977,20250721T1849
fibonacci,37,562.5,20250721T1849
fibonacci,38,926.0999999940395,20250721T1849
fibonacci,39,1484.4000000059605,20250721T1849
fibonacci,40,2377.7999999970198,20250721T1849
fibonacci,41,3836.9000000059605,20250721T1849
fibonacci,42,6234,20250721T1849
fibonacci,43,10072.09999999404,20250721T1849
fibonacci,44,16958.90000000596,20250721T1849
fibonacci,45,27592,20250721T1849
fibonacci,46,43363.5,20250721T1849
fibonacci,47,68826.5,20250721T1849
fibonacci,48,113356.59999999404,20250721T1849
fibonacci,49,180756.10000000894,20250721T1849
