Algorithm,Input,Time,Date
fibonacci,0,0.014180999999999777,20250711T0414
fibonacci,1,0.0009609999999993235,20250711T0414
fibonacci,2,0.0010630000000002582,20250711T0414
fibonacci,3,0.0008809999999996876,20250711T0414
fibonacci,4,0.01391399999999976,20250711T0414
fibonacci,5,0.0020690000000005426,20250711T0414
fibonacci,6,0.0016799999999994597,20250711T0414
fibonacci,7,0.0021539999999999893,20250711T0414
fibonacci,8,0.003070000000000128,20250711T0414
fibonacci,9,0.004634000000000249,20250711T0414
fibonacci,10,0.007121999999999851,20250711T0414
fibonacci,11,0.040747999999999784,20250711T0414
fibonacci,12,0.017858999999999625,20250711T0414
fibonacci,13,0.028516999999999904,20250711T0414
fibonacci,14,0.045409999999999506,20250711T0414
fibonacci,15,0.0798110000000003,20250711T0414
fibonacci,16,0.12706899999999965,20250711T0414
fibonacci,17,0.06510699999999936,20250711T0414
fibonacci,18,0.041093000000000046,20250711T0414
fibonacci,19,0.18078200000000066,20250711T0414
fibonacci,20,0.10681599999999936,20250711T0414
fibonacci,21,0.17188499999999962,20250711T0414
fibonacci,22,0.27816799999999997,20250711T0414
fibonacci,23,0.4664760000000001,20250711T0414
fibonacci,24,0.6832320000000003,20250711T0414
fibonacci,25,1.0893490000000012,20250711T0414
fibonacci,26,1.7627539999999993,20250711T0414
fibonacci,27,2.891249,20250711T0414
fibonacci,28,5.145887,20250711T0414
fibonacci,29,7.470802000000003,20250711T0414
fibonacci,30,12.574359999999999,20250711T0414
fibonacci,31,19.559471000000002,20250711T0414
fibonacci,32,32.125154,20250711T0414
fibonacci,33,51.700456999999986,20250711T0414
fibonacci,34,82.95640600000002,20250711T0414
fibonacci,35,133.986642,20250711T0414
fibonacci,36,216.804913,20250711T0414
fibonacci,37,351.09354499999995,20250711T0414
fibonacci,38,567.712592,20250711T0414
fibonacci,39,923.6479630000001,20250711T0414
fibonacci,40,1493.258792,20250711T0414
fibonacci,41,2403.732099,20250711T0414
fibonacci,42,3888.5907160000006,20250711T0414
