Algorithm,Input,Time,Date
fibonacci,0,0.00603599999999993,20250711T0541
fibonacci,1,0.0013220000000000454,20250711T0541
fibonacci,2,0.0009969999999999146,20250711T0541
fibonacci,3,0.0009119999999995798,20250711T0541
fibonacci,4,0.005269999999999442,20250711T0541
fibonacci,5,0.0012889999999998736,20250711T0541
fibonacci,6,0.0007310000000000372,20250711T0541
fibonacci,7,0.0007880000000000109,20250711T0541
fibonacci,8,0.0007969999999994926,20250711T0541
fibonacci,9,0.0008509999999999351,20250711T0541
fibonacci,10,0.003763000000000183,20250711T0541
fibonacci,11,0.0009730000000001127,20250711T0541
fibonacci,12,0.001100000000000101,20250711T0541
fibonacci,13,0.0014729999999998356,20250711T0541
fibonacci,14,0.001828000000000607,20250711T0541
fibonacci,15,0.002624000000000848,20250711T0541
fibonacci,16,0.003613999999999784,20250711T0541
fibonacci,17,0.005656000000000105,20250711T0541
fibonacci,18,0.008836999999999762,20250711T0541
fibonacci,19,0.01422199999999929,20250711T0541
fibonacci,20,0.022540999999999478,20250711T0541
fibonacci,21,0.03542100000000037,20250711T0541
fibonacci,22,0.05677200000000049,20250711T0541
fibonacci,23,0.0905819999999995,20250711T0541
fibonacci,24,0.14682499999999976,20250711T0541
fibonacci,25,0.24401899999999976,20250711T0541
fibonacci,26,0.38163699999999956,20250711T0541
fibonacci,27,0.6223160000000005,20250711T0541
fibonacci,28,0.9726990000000004,20250711T0541
fibonacci,29,1.6231200000000001,20250711T0541
fibonacci,30,2.6344189999999994,20250711T0541
fibonacci,31,4.234488000000001,20250711T0541
fibonacci,32,6.8460339999999995,20250711T0541
fibonacci,33,11.100176999999999,20250711T0541
fibonacci,34,17.925056999999995,20250711T0541
fibonacci,35,28.993231,20250711T0541
fibonacci,36,47.198285999999996,20250711T0541
fibonacci,37,79.978634,20250711T0541
fibonacci,38,134.090812,20250711T0541
fibonacci,39,203.781291,20250711T0541
fibonacci,40,318.195749,20250711T0541
fibonacci,41,513.098958,20250711T0541
fibonacci,42,840.6119059999999,20250711T0541
fibonacci,43,1403.6149890000002,20250711T0541
fibonacci,44,2463.6936929999997,20250711T0541
fibonacci,45,3995.811812000001,20250711T0541
fibonacci,46,6463.576885999999,20250711T0541
fibonacci,47,10485.189366999999,20250711T0541
fibonacci,48,16956.020818999998,20250711T0541
fibonacci,49,27282.678186999998,20250711T0541
fibonacci,0,0.0057669999999996335,20250711T0542
fibonacci,1,0.0013259999999997163,20250711T0542
fibonacci,2,0.001012000000000235,20250711T0542
fibonacci,3,0.0008470000000002642,20250711T0542
fibonacci,4,0.005061000000000426,20250711T0542
fibonacci,5,0.0013620000000003074,20250711T0542
fibonacci,6,0.0008339999999993353,20250711T0542
fibonacci,7,0.0008520000000000749,20250711T0542
fibonacci,8,0.0037069999999994607,20250711T0542
fibonacci,9,0.0009170000000002787,20250711T0542
fibonacci,10,0.0009139999999998594,20250711T0542
fibonacci,11,0.000974999999999504,20250711T0542
fibonacci,12,0.001174999999999926,20250711T0542
fibonacci,13,0.001536000000000648,20250711T0542
fibonacci,14,0.001870999999999512,20250711T0542
fibonacci,15,0.0026170000000007576,20250711T0542
fibonacci,16,0.003958000000000794,20250711T0542
fibonacci,17,0.0060920000000006524,20250711T0542
fibonacci,18,0.009165000000000312,20250711T0542
fibonacci,19,0.014526000000000039,20250711T0542
fibonacci,20,0.02288500000000049,20250711T0542
fibonacci,21,0.036268999999999885,20250711T0542
fibonacci,22,0.05811899999999959,20250711T0542
fibonacci,23,0.09349000000000007,20250711T0542
fibonacci,24,0.15054999999999996,20250711T0542
fibonacci,25,0.24324999999999974,20250711T0542
fibonacci,26,0.3984009999999998,20250711T0542
fibonacci,27,0.6473770000000005,20250711T0542
fibonacci,28,1.0290429999999997,20250711T0542
fibonacci,29,1.6503029999999992,20250711T0542
fibonacci,30,2.625404999999999,20250711T0542
fibonacci,31,4.263088,20250711T0542
fibonacci,32,6.880965,20250711T0542
fibonacci,33,11.252325000000003,20250711T0542
fibonacci,34,17.926872000000003,20250711T0542
fibonacci,35,28.607532000000006,20250711T0542
fibonacci,36,47.28569000000002,20250711T0542
fibonacci,37,80.224266,20250711T0542
fibonacci,38,134.289807,20250711T0542
fibonacci,39,221.201594,20250711T0542
fibonacci,40,359.89416900000003,20250711T0542
fibonacci,41,581.4023889999999,20250711T0542
fibonacci,42,942.3983229999999,20250711T0542
fibonacci,43,1540.0458469999999,20250711T0542
fibonacci,44,2465.1341680000005,20250711T0542
fibonacci,45,3995.9115629999997,20250711T0542
fibonacci,46,6425.969415,20250711T0542
fibonacci,47,10455.279294,20250711T0542
fibonacci,48,16859.227328,20250711T0542
fibonacci,49,27292.670465999996,20250711T0542
fibonacci,0,0.0063349999999999795,20250711T0543
fibonacci,1,0.001154999999999795,20250711T0543
fibonacci,2,0.0009300000000003195,20250711T0543
fibonacci,3,0.0009939999999994953,20250711T0543
fibonacci,4,0.0059269999999997935,20250711T0543
fibonacci,5,0.0013310000000004152,20250711T0543
fibonacci,6,0.0008169999999996236,20250711T0543
fibonacci,7,0.0007919999999996818,20250711T0543
fibonacci,8,0.0008169999999996236,20250711T0543
fibonacci,9,0.0010150000000006543,20250711T0543
fibonacci,10,0.0008759999999998769,20250711T0543
fibonacci,11,0.000986999999999405,20250711T0543
fibonacci,12,0.0011490000000007328,20250711T0543
fibonacci,13,0.0013959999999997308,20250711T0543
fibonacci,14,0.0018759999999993227,20250711T0543
fibonacci,15,0.0025890000000003965,20250711T0543
fibonacci,16,0.003944999999999865,20250711T0543
