Algorithm,Input,Time,Date
fibonacci,0,0.0,20250713T0027
fibonacci,1,0.0,20250713T0027
fibonacci,2,0.0,20250713T0027
fibonacci,3,0.0,20250713T0027
fibonacci,4,0.0,20250713T0027
fibonacci,5,0.0,20250713T0027
fibonacci,6,0.0,20250713T0027
fibonacci,7,0.0,20250713T0027
fibonacci,8,0.0,20250713T0027
fibonacci,9,0.0,20250713T0027
fibonacci,10,0.0,20250713T0027
fibonacci,11,0.0,20250713T0027
fibonacci,12,0.0,20250713T0027
fibonacci,13,0.0,20250713T0027
fibonacci,14,0.0,20250713T0027
fibonacci,15,0.0,20250713T0027
fibonacci,16,0.0,20250713T0027
fibonacci,17,0.0,20250713T0027
fibonacci,18,0.0,20250713T0027
fibonacci,19,0.0,20250713T0027
fibonacci,20,0.0,20250713T0027
fibonacci,21,0.0,20250713T0027
fibonacci,22,0.0,20250713T0027
fibonacci,23,0.0,20250713T0027
fibonacci,24,0.0,20250713T0027
fibonacci,25,0.0,20250713T0027
fibonacci,26,1.0,20250713T0027
fibonacci,27,1.0,20250713T0027
fibonacci,28,3.0,20250713T0027
fibonacci,29,3.0,20250713T0027
fibonacci,30,6.0,20250713T0027
fibonacci,31,8.0,20250713T0027
fibonacci,32,13.0,20250713T0027
fibonacci,33,23.0,20250713T0027
fibonacci,34,38.0,20250713T0027
fibonacci,35,58.0,20250713T0027
fibonacci,36,91.0,20250713T0027
fibonacci,37,152.0,20250713T0027
fibonacci,38,259.0,20250713T0027
fibonacci,39,443.0,20250713T0027
fibonacci,40,618.0,20250713T0027
fibonacci,41,1020.0,20250713T0027
fibonacci,42,1710.0,20250713T0027
fibonacci,43,2772.0,20250713T0027
fibonacci,44,4308.0,20250713T0027
fibonacci,45,6665.0,20250713T0027
fibonacci,46,10778.0,20250713T0027
fibonacci,47,18733.0,20250713T0027
fibonacci,48,31307.0,20250713T0027
fibonacci,49,50559.0,20250713T0027
fibonacci,0,0,20250721T1753
fibonacci,1,0,20250721T1753
fibonacci,2,0,20250721T1753
fibonacci,3,0,20250721T1753
fibonacci,4,0,20250721T1753
fibonacci,5,0,20250721T1753
fibonacci,6,0,20250721T1753
fibonacci,7,0,20250721T1753
fibonacci,8,0,20250721T1753
fibonacci,9,0,20250721T1753
fibonacci,10,0,20250721T1753
fibonacci,11,0,20250721T1753
fibonacci,12,0,20250721T1753
fibonacci,13,0,20250721T1753
fibonacci,14,0,20250721T1753
fibonacci,15,0,20250721T1753
fibonacci,16,0,20250721T1753
fibonacci,17,0,20250721T1753
fibonacci,18,0,20250721T1753
fibonacci,19,0,20250721T1753
fibonacci,20,0,20250721T1753
fibonacci,21,0,20250721T1753
fibonacci,22,0,20250721T1753
fibonacci,23,1,20250721T1753
fibonacci,24,0,20250721T1753
fibonacci,25,2,20250721T1753
fibonacci,26,1,20250721T1753
fibonacci,27,3,20250721T1753
fibonacci,28,4,20250721T1753
fibonacci,29,6,20250721T1753
fibonacci,30,9,20250721T1753
fibonacci,31,15,20250721T1753
fibonacci,32,25,20250721T1753
fibonacci,33,40,20250721T1753
fibonacci,34,67,20250721T1753
fibonacci,35,111,20250721T1753
fibonacci,36,179,20250721T1753
fibonacci,37,265,20250721T1753
fibonacci,38,344,20250721T1753
fibonacci,39,629,20250721T1753
fibonacci,40,905,20250721T1753
fibonacci,41,1490,20250721T1753
fibonacci,42,2335,20250721T1753
fibonacci,43,3955,20250721T1753
fibonacci,44,6236,20250721T1753
fibonacci,45,9600,20250721T1753
fibonacci,46,16770,20250721T1753
fibonacci,47,26070,20250721T1753
fibonacci,48,43689,20250721T1753
fibonacci,49,67669,20250721T1753
fibonacci,0,0,20250721T1802
fibonacci,1,0,20250721T1802
fibonacci,2,0,20250721T1802
fibonacci,3,0,20250721T1802
fibonacci,4,0,20250721T1802
fibonacci,5,0,20250721T1802
fibonacci,6,0,20250721T1802
fibonacci,7,0,20250721T1802
fibonacci,8,0,20250721T1802
fibonacci,9,0,20250721T1802
fibonacci,10,0,20250721T1802
fibonacci,11,0,20250721T1802
fibonacci,12,0,20250721T1802
fibonacci,13,0,20250721T1802
fibonacci,14,0,20250721T1802
fibonacci,15,0,20250721T1802
fibonacci,16,0,20250721T1802
fibonacci,17,0,20250721T1802
fibonacci,18,0,20250721T1802
fibonacci,19,0,20250721T1802
fibonacci,20,0,20250721T1802
fibonacci,21,0,20250721T1802
fibonacci,22,0,20250721T1802
fibonacci,23,0,20250721T1802
fibonacci,24,0,20250721T1802
fibonacci,25,1,20250721T1802
fibonacci,26,0,20250721T1802
fibonacci,27,2,20250721T1802
fibonacci,28,2,20250721T1802
fibonacci,29,4,20250721T1802
fibonacci,30,4,20250721T1802
fibonacci,31,7,20250721T1802
fibonacci,32,16,20250721T1802
fibonacci,33,23,20250721T1802
fibonacci,34,34,20250721T1802
fibonacci,35,58,20250721T1802
fibonacci,36,89,20250721T1802
fibonacci,37,149,20250721T1802
fibonacci,38,231,20250721T1802
fibonacci,39,374,20250721T1802
fibonacci,40,599,20250721T1802
fibonacci,41,979,20250721T1802
fibonacci,42,1583,20250721T1802
fibonacci,43,2539,20250721T1802
fibonacci,44,4104,20250721T1802
fibonacci,45,6644,20250721T1802
fibonacci,46,11562,20250721T1802
fibonacci,47,20836,20250721T1802
fibonacci,48,32835,20250721T1802
fibonacci,49,52701,20250721T1802
