Algorithm,Input,Time
fibonacci,0,0.10000000149011612
fibonacci,1,0
fibonacci,2,0
fibonacci,3,0
fibonacci,4,0
fibonacci,5,0
fibonacci,6,0
fibonacci,7,0
fibonacci,8,0
fibonacci,9,0.10000000149011612
fibonacci,10,0
fibonacci,11,0.09999999776482582
fibonacci,12,0.10000000149011612
fibonacci,13,0
fibonacci,14,0.19999999925494194
fibonacci,15,0.09999999776482582
fibonacci,16,0
fibonacci,17,0.19999999925494194
fibonacci,18,0.20000000298023224
fibonacci,19,0.29999999701976776
fibonacci,20,0.30000000074505806
fibonacci,21,0.5
fibonacci,22,0.5
fibonacci,23,0.8000000007450581
fibonacci,24,1
fibonacci,25,1.699999999254942
fibonacci,26,3.199999999254942
fibonacci,27,4.400000002235174
fibonacci,28,6.899999998509884
fibonacci,29,11.300000000745058
fibonacci,30,17.100000001490116
fibonacci,31,25.5
fibonacci,32,40.79999999701977
fibonacci,33,65.10000000149012
fibonacci,34,105.39999999850988
fibonacci,35,168.60000000149012
fibonacci,36,271.79999999701977
fibonacci,37,438.30000000074506
fibonacci,38,712.6000000014901
fibonacci,39,1165
fibonacci,40,1865.5
fibonacci,41,2980.300000000745
fibonacci,42,4861.39999999851
fibonacci,43,7839.89999999851
fibonacci,44,12598.800000000745
fibonacci,45,20343.400000002235
fibonacci,46,33752.89999999851
fibonacci,47,66367.10000000149
