Algorithm,Input,Time
fibonacci,0,0
fibonacci,1,0
fibonacci,2,0
fibonacci,3,0
fibonacci,4,0
fibonacci,5,0
fibonacci,6,0
fibonacci,7,0
fibonacci,8,0
fibonacci,9,0
fibonacci,10,0
fibonacci,11,0
fibonacci,12,0
fibonacci,13,0
fibonacci,14,0
fibonacci,15,0
fibonacci,16,0
fibonacci,17,0
fibonacci,18,0
fibonacci,19,0
fibonacci,20,0
fibonacci,21,1
fibonacci,22,0
fibonacci,23,1
fibonacci,24,2
fibonacci,25,1
fibonacci,26,3
fibonacci,27,5
fibonacci,28,8
fibonacci,29,12
fibonacci,30,25
fibonacci,31,40
fibonacci,32,60
fibonacci,33,112
fibonacci,34,127
fibonacci,35,223
fibonacci,36,421
fibonacci,37,546
fibonacci,38,915
fibonacci,39,1395
fibonacci,40,2289
fibonacci,41,3665
fibonacci,42,5981
fibonacci,43,9610
fibonacci,44,15721
fibonacci,45,25020
fibonacci,46,40642
fibonacci,47,68848
