Algorithm,Input,Time
fibonacci,0,0.02447100000000546
fibonacci,1,0.0007829999999984238
fibonacci,2,0.0009319999999917172
fibonacci,3,0.0007979999999889742
fibonacci,4,0.005366999999992572
fibonacci,5,0.0017700000000075988
fibonacci,6,0.0016700000000042792
fibonacci,7,0.0032530000000008386
fibonacci,8,0.0031610000000057425
fibonacci,9,0.004642000000004032
fibonacci,10,0.0070940000000092596
fibonacci,11,0.012297000000003777
fibonacci,12,0.017733000000006882
fibonacci,13,0.045001999999996656
fibonacci,14,0.26579300000000217
fibonacci,15,0.03702300000000491
fibonacci,16,0.05634000000000583
fibonacci,17,0.09074300000000335
fibonacci,18,0.14278699999999844
fibonacci,19,0.24762300000000437
fibonacci,20,0.338239999999999
fibonacci,21,0.14872099999999477
fibonacci,22,0.24032300000000362
fibonacci,23,0.3979659999999967
fibonacci,24,0.6286679999999905
fibonacci,25,1.0211240000000004
fibonacci,26,1.6657480000000078
fibonacci,27,2.678562999999997
fibonacci,28,4.3268249999999995
fibonacci,29,6.993375
fibonacci,30,11.308357999999998
fibonacci,31,18.307090000000017
fibonacci,32,29.646963
fibonacci,33,49.50369499999999
fibonacci,34,77.516987
fibonacci,35,125.44236000000001
fibonacci,36,203.019607
fibonacci,37,328.897465
fibonacci,38,531.9529819999999
fibonacci,39,859.7133250000002
fibonacci,40,1397.148831
fibonacci,41,2251.3695719999996
fibonacci,42,3642.371063999999
fibonacci,43,5892.973847000001
fibonacci,44,9545.265832000001
fibonacci,45,15428.302436000002
fibonacci,46,25009.904105
fibonacci,47,40412.853093
