Algorithm,Input,Time,Date
linearSearch,10000000,10.8797,20250711T0446
linearSearch,50000000,46.90104400000001,20250711T0446
linearSearch,100000000,92.99567900000005,20250711T0446
linearSearch,200000000,186.01643999999987,20250711T0446
linearSearch,300000000,278.71153200000003,20250711T0446
linearSearch,400000000,375.1587730000001,20250711T0446
linearSearch,500000000,465.84651699999995,20250711T0446
linearSearch,600000000,555.9168179999997,20250711T0446
linearSearch,700000000,651.0139469999995,20250711T0446
linearSearch,800000000,772.7443800000001,20250711T0446
linearSearch,900000000,838.7992380000014,20250711T0446
linearSearch,1000000000,927.627881999997,20250711T0446
linearSearch,10000000,10.603949,20250711T0446
linearSearch,50000000,47.080321999999995,20250711T0446
linearSearch,100000000,93.64757700000001,20250711T0446
linearSearch,200000000,185.47215599999993,20250711T0446
linearSearch,300000000,279.4332609999999,20250711T0446
linearSearch,400000000,373.52140499999996,20250711T0446
linearSearch,500000000,463.71552900000006,20250711T0446
linearSearch,600000000,555.9553060000007,20250711T0446
linearSearch,700000000,648.4995630000012,20250711T0446
linearSearch,800000000,741.8472280000005,20250711T0446
linearSearch,900000000,836.1593489999996,20250711T0446
linearSearch,1000000000,926.8247909999991,20250711T0446
linearSearch,10000000,10.8091,20250711T0447
linearSearch,50000000,47.49931800000002,20250711T0447
linearSearch,100000000,94.21211,20250711T0447
linearSearch,200000000,185.7852089999999,20250711T0447
linearSearch,300000000,279.5697890000001,20250711T0447
linearSearch,400000000,374.22340699999995,20250711T0447
linearSearch,500000000,466.1695440000003,20250711T0447
linearSearch,600000000,557.0822720000006,20250711T0447
linearSearch,700000000,652.3183039999994,20250711T0447
linearSearch,800000000,743.4643639999995,20250711T0447
linearSearch,900000000,837.6660279999996,20250711T0447
linearSearch,1000000000,928.2743489999993,20250711T0447
linearSearch,10000000,10.592714999999998,20250712T0347
linearSearch,50000000,46.745542,20250712T0347
linearSearch,100000000,94.67750000000001,20250712T0347
linearSearch,200000000,191.0313309999999,20250712T0347
linearSearch,300000000,288.1188080000002,20250712T0347
linearSearch,400000000,388.37776600000007,20250712T0347
linearSearch,500000000,475.5043600000008,20250712T0347
linearSearch,600000000,571.0439019999994,20250712T0347
linearSearch,700000000,789.3615979999995,20250712T0347
linearSearch,800000000,777.2628490000006,20250712T0347
linearSearch,900000000,882.3051940000005,20250712T0347
linearSearch,1000000000,964.5241119999991,20250712T0347
linearSearch,10000000,10.554181,20250712T0347
linearSearch,50000000,47.05339999999998,20250712T0347
linearSearch,100000000,93.44016099999999,20250712T0347
linearSearch,200000000,186.94459999999992,20250712T0347
linearSearch,300000000,277.9913939999997,20250712T0347
linearSearch,400000000,375.8121530000003,20250712T0347
linearSearch,500000000,465.822897,20250712T0347
linearSearch,600000000,556.8120419999996,20250712T0347
linearSearch,700000000,652.0398420000001,20250712T0347
linearSearch,800000000,742.601956999999,20250712T0347
linearSearch,900000000,838.7974290000002,20250712T0347
linearSearch,1000000000,928.9732990000011,20250712T0347
linearSearch,10000000,10.551274000000006,20250712T0348
linearSearch,50000000,46.83803599999999,20250712T0348
linearSearch,100000000,93.59612999999996,20250712T0348
linearSearch,200000000,185.47911800000008,20250712T0348
linearSearch,300000000,278.1058690000002,20250712T0348
linearSearch,400000000,374.5313350000001,20250712T0348
linearSearch,500000000,504.6073890000007,20250712T0348
linearSearch,600000000,555.8165669999998,20250712T0348
linearSearch,700000000,650.9014669999997,20250712T0348
linearSearch,800000000,742.1591069999995,20250712T0348
linearSearch,900000000,838.5411439999989,20250712T0348
linearSearch,1000000000,965.3132589999987,20250712T0348
linearSearch,10000000,10.696124999999995,20250712T0348
linearSearch,50000000,46.790456000000006,20250712T0348
linearSearch,100000000,97.95824700000003,20250712T0348
linearSearch,200000000,193.6390550000001,20250712T0348
linearSearch,300000000,292.4721880000002,20250712T0348
linearSearch,400000000,393.9632770000003,20250712T0348
linearSearch,500000000,489.5552950000001,20250712T0348
linearSearch,600000000,581.3478839999998,20250712T0348
linearSearch,700000000,683.4252190000007,20250712T0348
linearSearch,800000000,778.451622999999,20250712T0348
linearSearch,900000000,879.5275220000003,20250712T0348
linearSearch,1000000000,969.0115850000002,20250712T0348
linearSearch,10000000,11.007233,20250712T0348
linearSearch,50000000,46.55265600000001,20250712T0348
linearSearch,100000000,93.36975799999999,20250712T0348
linearSearch,200000000,185.38391400000012,20250712T0348
linearSearch,300000000,279.39361299999996,20250712T0348
linearSearch,400000000,374.70220900000004,20250712T0348
linearSearch,500000000,466.36208200000056,20250712T0348
linearSearch,600000000,556.5783640000009,20250712T0348
linearSearch,700000000,649.7336040000009,20250712T0348
linearSearch,800000000,745.9266380000008,20250712T0348
linearSearch,900000000,893.7619619999987,20250712T0348
linearSearch,1000000000,974.0484290000022,20250712T0348
linearSearch,10000000,11.238788999999997,20250712T0349
linearSearch,50000000,46.63444999999999,20250712T0349
linearSearch,100000000,93.24969299999992,20250712T0349
linearSearch,200000000,185.56237900000008,20250712T0349
linearSearch,300000000,279.53465600000004,20250712T0349
linearSearch,400000000,372.459656,20250712T0349
linearSearch,500000000,463.38862700000027,20250712T0349
linearSearch,600000000,556.0597499999994,20250712T0349
linearSearch,700000000,652.1514910000005,20250712T0349
linearSearch,800000000,745.1201669999991,20250712T0349
linearSearch,900000000,834.3934449999997,20250712T0349
linearSearch,1000000000,928.0121709999985,20250712T0349
linearSearch,10000000,10.601443999999994,20250712T0349
linearSearch,50000000,46.761435000000006,20250712T0349
linearSearch,100000000,93.25690799999995,20250712T0349
linearSearch,200000000,185.44117500000004,20250712T0349
