Algorithm,Input,Time,Date
linearSearch,10000000,7.573084999999992,20250711T0527
linearSearch,50000000,34.64475799999991,20250711T0527
linearSearch,100000000,68.76854099999991,20250711T0527
linearSearch,200000000,127.41928100000041,20250711T0527
linearSearch,300000000,190.89277599999878,20250711T0527
linearSearch,400000000,255.03522599999997,20250711T0527
linearSearch,500000000,318.56683599999815,20250711T0527
linearSearch,600000000,381.4545720000024,20250711T0527
linearSearch,700000000,444.94517199999973,20250711T0527
linearSearch,800000000,507.138254999998,20250711T0527
linearSearch,900000000,613.7861990000092,20250711T0527
linearSearch,1000000000,679.5471930000058,20250711T0527
linearSearch,10000000,7.446479000000011,20250711T0529
linearSearch,50000000,31.934893999999986,20250711T0529
linearSearch,100000000,63.79825600000004,20250711T0529
linearSearch,200000000,127.16163599999982,20250711T0529
linearSearch,300000000,190.63773899999978,20250711T0529
linearSearch,400000000,254.0487890000004,20250711T0529
linearSearch,500000000,317.49755300000106,20250711T0529
linearSearch,600000000,381.38118399999803,20250711T0529
linearSearch,700000000,443.2496419999952,20250711T0529
linearSearch,800000000,509.0326689999929,20250711T0529
linearSearch,900000000,570.3542630000011,20250711T0529
linearSearch,1000000000,692.1497539999982,20250711T0529
linearSearch,10000000,7.1481919999999946,20250711T0531
linearSearch,50000000,31.85582199999999,20250711T0531
linearSearch,100000000,63.46762800000033,20250711T0531
linearSearch,200000000,127.84239700000035,20250711T0531
linearSearch,300000000,190.75925499999903,20250711T0531
linearSearch,400000000,254.0225559999999,20250711T0531
linearSearch,500000000,317.7836849999985,20250711T0531
linearSearch,600000000,382.0316060000041,20250711T0531
linearSearch,700000000,444.3346640000018,20250711T0531
linearSearch,800000000,507.09657900000457,20250711T0531
linearSearch,900000000,619.0407330000016,20250711T0531
linearSearch,1000000000,681.556104000003,20250711T0531
linearSearch,10000000,7.254909000000026,20250712T0600
linearSearch,50000000,31.83400800000004,20250712T0600
linearSearch,100000000,63.53274300000021,20250712T0600
linearSearch,200000000,127.21494600000005,20250712T0600
linearSearch,300000000,190.6828060000007,20250712T0600
linearSearch,400000000,253.40961900000184,20250712T0600
linearSearch,500000000,316.71558899999945,20250712T0600
linearSearch,600000000,407.2496459999966,20250712T0600
linearSearch,700000000,469.1540520000053,20250712T0600
linearSearch,800000000,530.8848330000037,20250712T0600
linearSearch,900000000,570.317326999997,20250712T0600
linearSearch,1000000000,634.7380499999999,20250712T0600
linearSearch,10000000,7.536318999999992,20250712T0602
linearSearch,50000000,31.889480999999932,20250712T0602
linearSearch,100000000,63.67346899999984,20250712T0602
linearSearch,200000000,126.91136899999947,20250712T0602
linearSearch,300000000,190.18069400000059,20250712T0602
linearSearch,400000000,253.47506799999974,20250712T0602
linearSearch,500000000,316.7456069999971,20250712T0602
linearSearch,600000000,380.03932899999927,20250712T0602
linearSearch,700000000,443.35070299999643,20250712T0602
linearSearch,800000000,507.2683529999922,20250712T0602
linearSearch,900000000,570.353191000002,20250712T0602
linearSearch,1000000000,633.2122050000035,20250712T0602
linearSearch,10000000,7.018258000000003,20250712T0604
linearSearch,50000000,31.896036000000095,20250712T0604
linearSearch,100000000,63.65758099999994,20250712T0604
linearSearch,200000000,127.17702199999985,20250712T0604
linearSearch,300000000,190.1489220000003,20250712T0604
linearSearch,400000000,253.40142099999866,20250712T0604
linearSearch,500000000,316.73422500000015,20250712T0604
linearSearch,600000000,405.541492999997,20250712T0604
linearSearch,700000000,469.30566000000545,20250712T0604
linearSearch,800000000,533.1325090000028,20250712T0604
linearSearch,900000000,572.8104440000025,20250712T0604
linearSearch,1000000000,633.4210200000089,20250712T0604
linearSearch,10000000,7.128646000000003,20250712T0605
linearSearch,50000000,31.82301100000018,20250712T0605
linearSearch,100000000,63.53537099999994,20250712T0605
linearSearch,200000000,126.89848300000085,20250712T0605
linearSearch,300000000,190.2480199999991,20250712T0605
linearSearch,400000000,253.46916899999997,20250712T0605
linearSearch,500000000,316.8040910000018,20250712T0605
linearSearch,600000000,381.2933639999974,20250712T0605
linearSearch,700000000,443.3343359999999,20250712T0605
linearSearch,800000000,506.48738000000594,20250712T0605
linearSearch,900000000,569.9793639999989,20250712T0605
linearSearch,1000000000,676.5833500000008,20250712T0605
linearSearch,10000000,7.62641099999999,20250712T0607
linearSearch,50000000,33.911986999999954,20250712T0607
linearSearch,100000000,67.11654799999997,20250712T0607
linearSearch,200000000,134.0287210000006,20250712T0607
linearSearch,300000000,199.18711900000017,20250712T0607
linearSearch,400000000,266.0335809999997,20250712T0607
linearSearch,500000000,330.9418880000012,20250712T0607
linearSearch,600000000,397.6547789999968,20250712T0607
linearSearch,700000000,443.4355880000003,20250712T0607
linearSearch,800000000,507.0271090000024,20250712T0607
linearSearch,900000000,571.2248269999982,20250712T0607
linearSearch,1000000000,634.9084759999969,20250712T0607
linearSearch,10000000,7.285549000000003,20250712T0609
linearSearch,50000000,31.87742100000014,20250712T0609
linearSearch,100000000,63.67408899999964,20250712T0609
linearSearch,200000000,127.014048,20250712T0609
linearSearch,300000000,190.47060000000056,20250712T0609
linearSearch,400000000,253.47819100000197,20250712T0609
linearSearch,500000000,316.76066199999696,20250712T0609
linearSearch,600000000,381.233103999999,20250712T0609
linearSearch,700000000,476.5598649999956,20250712T0609
linearSearch,800000000,537.6791070000036,20250712T0609
linearSearch,900000000,570.8954000000085,20250712T0609
linearSearch,1000000000,635.8756029999931,20250712T0609
linearSearch,10000000,7.38778499999998,20250712T0611
linearSearch,50000000,31.870083000000022,20250712T0611
linearSearch,100000000,63.64810699999998,20250712T0611
linearSearch,200000000,127.17791000000034,20250712T0611
linearSearch,300000000,190.20657299999948,20250712T0611
linearSearch,400000000,254.09823400000096,20250712T0611
linearSearch,500000000,317.5695119999982,20250712T0611
linearSearch,600000000,381.0011069999964,20250712T0611
linearSearch,700000000,444.4630309999993,20250712T0611
linearSearch,800000000,507.0680740000098,20250712T0611
linearSearch,900000000,571.186944000001,20250712T0611
linearSearch,1000000000,633.638844000001,20250712T0611
linearSearch,10000000,7.604995000000002,20250712T0613
linearSearch,50000000,34.53934600000002,20250712T0613
linearSearch,100000000,68.24032699999998,20250712T0613
linearSearch,200000000,136.33065700000043,20250712T0613
linearSearch,300000000,190.55237900000066,20250712T0613
linearSearch,400000000,254.04922200000146,20250712T0613
linearSearch,500000000,316.81940900000336,20250712T0613
linearSearch,600000000,381.7092130000019,20250712T0613
linearSearch,700000000,444.4464299999963,20250712T0613
linearSearch,800000000,507.8561820000032,20250712T0613
linearSearch,900000000,570.2304379999987,20250712T0613
linearSearch,1000000000,634.1130189999967,20250712T0613
linearSearch,10000000,7.100715000000008,20250712T0615
linearSearch,50000000,31.914463999999953,20250712T0615
linearSearch,100000000,63.77600700000039,20250712T0615
linearSearch,200000000,127.04813899999954,20250712T0615
linearSearch,300000000,190.4860000000008,20250712T0615
linearSearch,400000000,253.98992400000134,20250712T0615
linearSearch,500000000,317.61344400000235,20250712T0615
linearSearch,600000000,380.48066200000176,20250712T0615
linearSearch,700000000,444.5334090000033,20250712T0615
linearSearch,800000000,507.9409719999967,20250712T0615
linearSearch,900000000,570.4864589999925,20250712T0615
linearSearch,1000000000,632.9426820000081,20250712T0615
linearSearch,10000000,7.494139000000018,20250712T0617
linearSearch,50000000,31.887553000000025,20250712T0617
linearSearch,100000000,63.64907499999981,20250712T0617
linearSearch,200000000,127.1461019999997,20250712T0617
linearSearch,300000000,190.15925099999913,20250712T0617
linearSearch,400000000,253.35473600000114,20250712T0617
linearSearch,500000000,318.37599899999987,20250712T0617
linearSearch,600000000,405.98895900000207,20250712T0617
linearSearch,700000000,469.7052279999989,20250712T0617
linearSearch,800000000,533.1934639999963,20250712T0617
linearSearch,900000000,570.6789390000049,20250712T0617
linearSearch,1000000000,633.0967890000029,20250712T0617
linearSearch,10000000,7.480426999999992,20250712T1043
linearSearch,50000000,31.821596999999883,20250712T1043
linearSearch,100000000,63.65891399999964,20250712T1043
linearSearch,200000000,127.73846400000002,20250712T1043
linearSearch,300000000,191.15527999999904,20250712T1043
linearSearch,400000000,254.08833199999935,20250712T1043
linearSearch,500000000,316.7740850000009,20250712T1043
linearSearch,600000000,379.8882939999967,20250712T1043
linearSearch,700000000,479.163446999999,20250712T1043
linearSearch,800000000,543.8826030000055,20250712T1043
linearSearch,900000000,610.6493229999905,20250712T1043
linearSearch,1000000000,633.2308750000084,20250712T1043
linearSearch,10000000,7.022379999999998,20250712T1045
linearSearch,50000000,31.805530999999974,20250712T1045
linearSearch,100000000,63.51590699999997,20250712T1045
linearSearch,200000000,126.91540600000008,20250712T1045
linearSearch,300000000,190.56952600000113,20250712T1045
linearSearch,400000000,254.33649899999727,20250712T1045
linearSearch,500000000,317.4683589999986,20250712T1045
linearSearch,600000000,379.8996210000041,20250712T1045
linearSearch,700000000,446.31876600000396,20250712T1045
linearSearch,800000000,506.77092000000994,20250712T1045
linearSearch,900000000,569.6779170000082,20250712T1045
linearSearch,1000000000,633.646305000002,20250712T1045
linearSearch,10000000,7.25932899999998,20250712T1047
linearSearch,50000000,31.904643999999962,20250712T1047
linearSearch,100000000,63.670784999999796,20250712T1047
linearSearch,200000000,137.2870700000003,20250712T1047
linearSearch,300000000,205.08665199999996,20250712T1047
linearSearch,400000000,272.09944299999916,20250712T1047
linearSearch,500000000,339.6113220000043,20250712T1047
linearSearch,600000000,406.82639599999675,20250712T1047
linearSearch,700000000,473.22039299999597,20250712T1047
linearSearch,800000000,507.5323930000013,20250712T1047
linearSearch,900000000,571.7835120000091,20250712T1047
linearSearch,1000000000,634.2404860000097,20250712T1047
linearSearch,10000000,7.5414049999999975,20250713T0556
linearSearch,50000000,31.908660000000054,20250713T0556
linearSearch,100000000,63.644938999999795,20250713T0556
linearSearch,200000000,127.17702099999951,20250713T0556
linearSearch,300000000,190.68140099999982,20250713T0556
linearSearch,400000000,254.15312999999878,20250713T0556
linearSearch,500000000,316.8439099999996,20250713T0556
linearSearch,600000000,381.55224100000487,20250713T0556
linearSearch,700000000,444.9809830000013,20250713T0556
linearSearch,800000000,506.568523000009,20250713T0556
linearSearch,900000000,569.8508750000037,20250713T0556
linearSearch,1000000000,635.8078220000025,20250713T0556
linearSearch,10000000,7.6274290000000065,20250713T0558
linearSearch,50000000,34.718781000000035,20250713T0558
linearSearch,100000000,68.80486699999983,20250713T0558
linearSearch,200000000,136.7904720000006,20250713T0558
linearSearch,300000000,190.73083700000097,20250713T0558
linearSearch,400000000,254.27622899999915,20250713T0558
linearSearch,500000000,317.52098300000216,20250713T0558
linearSearch,600000000,380.9613860000027,20250713T0558
linearSearch,700000000,444.4791869999972,20250713T0558
linearSearch,800000000,548.9274060000025,20250713T0558
linearSearch,900000000,612.1046820000047,20250713T0558
linearSearch,1000000000,679.0618380000087,20250713T0558
linearSearch,10000000,6.954905999999994,20250713T0559
linearSearch,50000000,31.91240300000004,20250713T0559
linearSearch,100000000,63.68741399999999,20250713T0559
linearSearch,200000000,127.5186479999993,20250713T0559
linearSearch,300000000,191.26976400000058,20250713T0559
linearSearch,400000000,255.12514100000044,20250713T0559
linearSearch,500000000,317.8482870000007,20250713T0559
linearSearch,600000000,381.6757359999974,20250713T0559
linearSearch,700000000,444.66371499999514,20250713T0559
linearSearch,800000000,509.34874000000127,20250713T0559
linearSearch,900000000,571.4398339999898,20250713T0559
linearSearch,1000000000,634.2545359999931,20250713T0559
linearSearch,10000000,7.033597999999984,20250713T0601
linearSearch,50000000,31.977598999999827,20250713T0601
linearSearch,100000000,63.67504199999985,20250713T0601
linearSearch,200000000,127.17994500000077,20250713T0601
linearSearch,300000000,190.6054349999995,20250713T0601
linearSearch,400000000,254.08872600000177,20250713T0601
linearSearch,500000000,317.29429399999935,20250713T0601
linearSearch,600000000,381.66316400000505,20250713T0601
linearSearch,700000000,445.04520599999523,20250713T0601
linearSearch,800000000,507.864293000006,20250713T0601
linearSearch,900000000,571.9434350000083,20250713T0601
