Algorithm,Input,Time,Date
linearSearch,10000000,21.5,20250713T0024
linearSearch,50000000,111.89999997615814,20250713T0024
linearSearch,100000000,223.5,20250713T0024
linearSearch,200000000,449.89999997615814,20250713T0024
linearSearch,300000000,677.6999999880791,20250713T0024
linearSearch,400000000,903.5,20250713T0024
linearSearch,500000000,1133.300000011921,20250713T0024
linearSearch,600000000,1362.699999988079,20250713T0024
linearSearch,700000000,1590.800000011921,20250713T0024
linearSearch,800000000,1788.2999999523163,20250713T0024
linearSearch,900000000,1832.800000011921,20250713T0024
linearSearch,1000000000,2036.699999988079,20250713T0024
linearSearch,10000000,20.599999994039536,20250721T1849
linearSearch,50000000,101.69999998807907,20250721T1849
linearSearch,100000000,204.40000000596046,20250721T1849
linearSearch,200000000,408.40000000596046,20250721T1849
linearSearch,300000000,611,20250721T1849
linearSearch,400000000,815.2000000029802,20250721T1849
linearSearch,500000000,1018,20250721T1849
