Algorithm,Input,Time,Date
linearSearch,10000000,12.0,20250713T0040
linearSearch,50000000,61.0,20250713T0040
linearSearch,100000000,123.0,20250713T0040
linearSearch,200000000,245.0,20250713T0040
linearSearch,300000000,367.0,20250713T0040
linearSearch,400000000,489.0,20250713T0040
linearSearch,500000000,612.0,20250713T0040
linearSearch,600000000,739.0,20250713T0040
linearSearch,700000000,857.0,20250713T0040
linearSearch,800000000,986.0,20250713T0040
linearSearch,900000000,1101.0,20250713T0040
linearSearch,1000000000,1239.0,20250713T0040
linearSearch,10000000,10,20250721T1819
linearSearch,50000000,49,20250721T1819
linearSearch,100000000,95,20250721T1819
linearSearch,200000000,189,20250721T1819
linearSearch,300000000,286,20250721T1819
linearSearch,400000000,381,20250721T1819
linearSearch,500000000,478,20250721T1819
