Algorithm,Input,Time,Date
linearSearch,10000000,7.0,20250713T0029
linearSearch,50000000,32.0,20250713T0029
linearSearch,100000000,64.0,20250713T0029
linearSearch,200000000,127.0,20250713T0029
linearSearch,300000000,192.0,20250713T0029
linearSearch,400000000,256.0,20250713T0029
linearSearch,500000000,320.0,20250713T0029
linearSearch,600000000,384.0,20250713T0029
linearSearch,700000000,446.0,20250713T0029
linearSearch,800000000,512.0,20250713T0029
linearSearch,900000000,574.0,20250713T0029
linearSearch,1000000000,637.0,20250713T0029
linearSearch,10000000,8,20250721T1802
linearSearch,50000000,37,20250721T1802
linearSearch,100000000,72,20250721T1802
linearSearch,200000000,143,20250721T1802
linearSearch,300000000,214,20250721T1802
linearSearch,400000000,258,20250721T1802
linearSearch,500000000,357,20250721T1802
