Algorithm,Input,Time,Date
linearSearch,10000000,16.507301000000012,20250711T0351
linearSearch,50000000,75.714787,20250711T0351
linearSearch,100000000,149.294854,20250711T0351
linearSearch,200000000,299.504727,20250711T0351
linearSearch,300000000,452.0701379999996,20250711T0351
linearSearch,400000000,596.8638780000001,20250711T0351
linearSearch,500000000,760.1700229999997,20250711T0351
linearSearch,600000000,1014.0324959999998,20250711T0351
linearSearch,700000000,1168.0058270000009,20250711T0351
linearSearch,800000000,1340.3997590000017,20250711T0351
linearSearch,900000000,1498.847124,20250711T0351
linearSearch,1000000000,1647.3946920000017,20250711T0351
linearSearch,10000000,16.88406500000002,20250711T0351
linearSearch,50000000,81.58345400000002,20250711T0351
linearSearch,100000000,164.988564,20250711T0351
linearSearch,200000000,324.73336300000005,20250711T0351
linearSearch,300000000,494.16888199999994,20250711T0351
linearSearch,400000000,653.9026829999993,20250711T0351
linearSearch,500000000,814.8305879999998,20250711T0351
linearSearch,600000000,895.6883369999996,20250711T0351
linearSearch,700000000,1044.255846,20250711T0351
linearSearch,800000000,1194.375985999999,20250711T0351
linearSearch,900000000,1343.4278769999983,20250711T0351
linearSearch,1000000000,1492.4753840000012,20250711T0351
linearSearch,10000000,16.51780499999998,20250711T0352
linearSearch,50000000,75.09119899999996,20250711T0352
linearSearch,100000000,150.8610759999999,20250711T0352
linearSearch,200000000,326.1658289999998,20250711T0352
linearSearch,300000000,496.77082999999993,20250711T0352
linearSearch,400000000,654.2127709999995,20250711T0352
linearSearch,500000000,816.7516290000003,20250711T0352
linearSearch,600000000,979.1091029999989,20250711T0352
linearSearch,700000000,1142.1302879999985,20250711T0352
linearSearch,800000000,1304.1385409999984,20250711T0352
linearSearch,900000000,1465.910387,20250711T0352
linearSearch,1000000000,1664.137376999999,20250711T0352
linearSearch,10000000,16.387729999999976,20250712T0042
linearSearch,50000000,75.09290899999996,20250712T0042
linearSearch,100000000,149.60555899999997,20250712T0042
linearSearch,200000000,299.4510600000001,20250712T0042
linearSearch,300000000,449.1316590000001,20250712T0042
linearSearch,400000000,596.2300110000006,20250712T0042
linearSearch,500000000,745.8688429999993,20250712T0042
linearSearch,600000000,894.9640499999987,20250712T0042
linearSearch,700000000,1044.4843199999996,20250712T0042
linearSearch,800000000,1193.5577669999984,20250712T0042
linearSearch,900000000,1342.7759669999978,20250712T0042
linearSearch,1000000000,1492.5131770000007,20250712T0042
linearSearch,10000000,16.76131699999999,20250712T0043
linearSearch,50000000,75.082877,20250712T0043
linearSearch,100000000,163.33016900000007,20250712T0043
linearSearch,200000000,321.2942800000001,20250712T0043
linearSearch,300000000,491.05112499999996,20250712T0043
linearSearch,400000000,641.458232,20250712T0043
linearSearch,500000000,801.5342509999991,20250712T0043
linearSearch,600000000,960.639928999999,20250712T0043
linearSearch,700000000,1121.128842,20250712T0043
linearSearch,800000000,1281.5512390000004,20250712T0043
linearSearch,900000000,1442.6114229999985,20250712T0043
linearSearch,1000000000,1600.1535220000005,20250712T0043
linearSearch,10000000,16.341570999999988,20250712T0043
linearSearch,50000000,79.73791899999998,20250712T0043
linearSearch,100000000,167.73660999999993,20250712T0043
linearSearch,200000000,322.53825299999994,20250712T0043
linearSearch,300000000,485.57315400000016,20250712T0043
linearSearch,400000000,640.5778719999998,20250712T0043
linearSearch,500000000,799.8907549999994,20250712T0043
linearSearch,600000000,959.7811569999994,20250712T0043
linearSearch,700000000,1119.6168699999998,20250712T0043
linearSearch,800000000,1279.1833960000004,20250712T0043
linearSearch,900000000,1439.15755,20250712T0043
linearSearch,1000000000,1598.9323650000006,20250712T0043
linearSearch,10000000,16.58742700000002,20250712T0044
linearSearch,50000000,79.752657,20250712T0044
linearSearch,100000000,160.447362,20250712T0044
linearSearch,200000000,317.3729329999999,20250712T0044
linearSearch,300000000,483.71639700000014,20250712T0044
linearSearch,400000000,636.4853629999998,20250712T0044
linearSearch,500000000,795.3204619999997,20250712T0044
linearSearch,600000000,956.8282819999986,20250712T0044
linearSearch,700000000,1116.4228470000016,20250712T0044
linearSearch,800000000,1275.6799620000002,20250712T0044
linearSearch,900000000,1436.0973709999998,20250712T0044
linearSearch,1000000000,1491.9443720000017,20250712T0044
