Algorithm,Input,Time,Date
Queue,10000,9.437913000000002,20250711T0452
Queue,25000,48.644188,20250711T0452
Queue,50000,226.60752100000002,20250711T0452
Queue,75000,535.828634,20250711T0452
Queue,100000,985.58162,20250711T0452
Queue,125000,9.343234000000166,20250711T0452
Queue,150000,12.789344999999912,20250711T0452
Queue,175000,14.188130000000001,20250711T0452
Queue,200000,15.505182000000104,20250711T0452
Queue,300000,25.76061299999992,20250711T0452
Queue,400000,30.36561400000005,20250711T0452
Queue,500000,37.44177100000002,20250711T0452
Queue,10000,8.699325,20250711T0452
Queue,25000,48.530733999999995,20250711T0452
Queue,50000,221.05068599999998,20250711T0452
Queue,75000,534.835912,20250711T0452
Queue,100000,975.5997760000001,20250711T0452
Queue,125000,9.219822000000022,20250711T0452
Queue,150000,13.220328999999992,20250711T0452
Queue,175000,14.028803000000153,20250711T0452
Queue,200000,15.572067000000061,20250711T0452
Queue,300000,25.831668000000036,20250711T0452
Queue,400000,31.06306799999993,20250711T0452
Queue,500000,37.46120300000007,20250711T0452
Queue,10000,8.704263,20250711T0452
Queue,25000,51.178017999999994,20250711T0452
Queue,50000,220.65636700000002,20250711T0452
Queue,75000,533.561387,20250711T0452
Queue,100000,994.656557,20250711T0452
Queue,125000,9.322353999999905,20250711T0452
Queue,150000,12.803895000000011,20250711T0452
Queue,175000,14.26154100000008,20250711T0452
Queue,200000,15.512628000000177,20250711T0452
Queue,300000,25.075725999999804,20250711T0452
Queue,400000,30.216253999999935,20250711T0452
Queue,500000,37.997163999999884,20250711T0452
Queue,10000,9.239940999999998,20250712T0407
Queue,25000,48.956301,20250712T0407
Queue,50000,224.798181,20250712T0407
Queue,75000,537.395005,20250712T0407
Queue,100000,986.5332899999999,20250712T0407
Queue,125000,9.268833000000086,20250712T0407
Queue,150000,13.527738999999883,20250712T0407
Queue,175000,14.050696000000016,20250712T0407
Queue,200000,15.736675000000105,20250712T0407
Queue,300000,24.781932000000097,20250712T0407
Queue,400000,31.03862500000014,20250712T0407
Queue,500000,37.89693299999999,20250712T0407
Queue,10000,9.247202999999999,20250712T0407
Queue,25000,49.01177799999999,20250712T0407
Queue,50000,222.57512699999995,20250712T0407
Queue,75000,563.1350970000001,20250712T0407
Queue,100000,1038.121644,20250712T0407
Queue,125000,10.231980000000021,20250712T0407
Queue,150000,14.68117600000005,20250712T0407
Queue,175000,15.778888999999936,20250712T0407
Queue,200000,17.440895000000182,20250712T0407
Queue,300000,27.359834999999975,20250712T0407
Queue,400000,33.04757399999994,20250712T0407
Queue,500000,40.23438100000021,20250712T0407
Queue,10000,9.021614999999999,20250712T0407
Queue,25000,48.484320000000004,20250712T0407
Queue,50000,227.73178699999997,20250712T0407
Queue,75000,562.2513959999999,20250712T0407
Queue,100000,1040.7003869999999,20250712T0407
Queue,125000,10.630088999999998,20250712T0407
Queue,150000,14.957215000000133,20250712T0407
Queue,175000,16.245020000000068,20250712T0407
Queue,200000,17.516256999999996,20250712T0407
Queue,300000,27.927400000000034,20250712T0407
Queue,400000,33.45221700000002,20250712T0407
Queue,500000,40.44584199999986,20250712T0407
Queue,10000,8.956804,20250712T0407
Queue,25000,50.854095,20250712T0407
Queue,50000,222.245547,20250712T0407
Queue,75000,540.069672,20250712T0407
Queue,100000,986.995483,20250712T0407
Queue,125000,9.599148000000014,20250712T0407
Queue,150000,12.803114999999934,20250712T0407
Queue,175000,14.151004000000057,20250712T0407
Queue,200000,15.727016000000049,20250712T0407
Queue,300000,24.815225000000055,20250712T0407
Queue,400000,30.192760000000135,20250712T0407
Queue,500000,36.996578,20250712T0407
Queue,10000,8.582606,20250712T0408
Queue,25000,48.926574,20250712T0408
Queue,50000,222.296202,20250712T0408
Queue,75000,557.750341,20250712T0408
Queue,100000,1041.955933,20250712T0408
Queue,125000,10.671567000000096,20250712T0408
Queue,150000,14.790926000000127,20250712T0408
Queue,175000,16.05882500000007,20250712T0408
Queue,200000,17.48996699999998,20250712T0408
Queue,300000,27.859300000000076,20250712T0408
Queue,400000,33.92807999999991,20250712T0408
Queue,500000,41.15038299999992,20250712T0408
Queue,10000,8.670529,20250712T0408
Queue,25000,50.230376,20250712T0408
Queue,50000,225.065676,20250712T0408
Queue,75000,537.663131,20250712T0408
Queue,100000,989.223403,20250712T0408
Queue,125000,9.184556000000157,20250712T0408
Queue,150000,12.950409000000036,20250712T0408
Queue,175000,14.040030999999999,20250712T0408
Queue,200000,15.673538999999892,20250712T0408
Queue,300000,24.848504000000048,20250712T0408
Queue,400000,30.70715599999994,20250712T0408
Queue,500000,36.886822000000166,20250712T0408
Queue,10000,9.181583,20250712T0408
Queue,25000,51.007296,20250712T0408
Queue,50000,225.09065600000002,20250712T0408
Queue,75000,558.450231,20250712T0408
Queue,100000,1029.434885,20250712T0408
Queue,125000,10.568150999999943,20250712T0408
Queue,150000,14.766552000000047,20250712T0408
Queue,175000,15.880282999999963,20250712T0408
Queue,200000,17.549706000000015,20250712T0408
Queue,300000,27.691012999999884,20250712T0408
Queue,400000,32.72045600000001,20250712T0408
Queue,500000,40.00165399999992,20250712T0408
Queue,10000,8.781119,20250712T0408
Queue,25000,51.261072,20250712T0408
Queue,50000,223.607818,20250712T0408
Queue,75000,535.978469,20250712T0408
Queue,100000,994.329777,20250712T0408
Queue,125000,9.54197699999986,20250712T0408
Queue,150000,12.881644999999935,20250712T0408
Queue,175000,14.247465000000147,20250712T0408
Queue,200000,15.536192000000028,20250712T0408
Queue,300000,24.88001600000007,20250712T0408
Queue,400000,30.381529,20250712T0408
Queue,500000,37.38274799999999,20250712T0408
Queue,10000,8.850528,20250712T0408
Queue,25000,48.897366,20250712T0408
Queue,50000,219.440798,20250712T0408
Queue,75000,532.873026,20250712T0408
Queue,100000,990.2588299999999,20250712T0408
Queue,125000,9.482471000000032,20250712T0408
Queue,150000,13.22712700000011,20250712T0408
Queue,175000,14.50664299999994,20250712T0408
Queue,200000,16.205915000000005,20250712T0408
Queue,300000,25.577737999999954,20250712T0408
Queue,400000,30.287957000000006,20250712T0408
