Algorithm,Input,Time,Date
Queue,10000,5.300000011920929,20250712T2335
Queue,25000,5.600000023841858,20250712T2335
Queue,50000,10.399999976158142,20250712T2335
Queue,75000,16.19999998807907,20250712T2335
Queue,100000,20.69999998807907,20250712T2335
Queue,125000,25,20250712T2335
Queue,150000,29.19999998807907,20250712T2335
Queue,175000,34.10000002384186,20250712T2335
Queue,200000,38.80000001192093,20250712T2335
Queue,300000,58.19999998807907,20250712T2335
Queue,400000,77.30000001192093,20250712T2335
Queue,500000,96.60000002384186,20250712T2335
Queue,10000,4.799999997019768,20250721T1852
Queue,25000,5.4000000059604645,20250721T1852
Queue,50000,9.799999997019768,20250721T1852
Queue,75000,16.100000008940697,20250721T1852
Queue,100000,20.100000008940697,20250721T1852
Queue,125000,24.900000005960464,20250721T1852
Queue,150000,29.80000001192093,20250721T1852
Queue,175000,35.20000000298023,20250721T1852
Queue,200000,40.400000005960464,20250721T1852
Queue,300000,60.79999999701977,20250721T1852
Queue,400000,77.30000001192093,20250721T1852
Queue,500000,96.70000000298023,20250721T1852
