Algorithm,Input,Time,Date
Queue,10000,4.507228,20250711T0550
Queue,25000,0.6441630000000007,20250711T0550
Queue,50000,1.242173000000001,20250711T0550
Queue,75000,1.87819,20250711T0550
Queue,100000,2.518180000000001,20250711T0550
Queue,125000,2.8909389999999995,20250711T0550
Queue,150000,3.791457000000001,20250711T0550
Queue,175000,4.240202,20250711T0550
Queue,200000,4.6089839999999995,20250711T0550
Queue,300000,7.704433000000002,20250711T0550
Queue,400000,9.331746000000003,20250711T0550
Queue,500000,11.784877999999999,20250711T0550
Queue,10000,4.912628999999999,20250711T0550
Queue,25000,0.6034250000000014,20250711T0550
Queue,50000,1.1628509999999999,20250711T0550
Queue,75000,1.7205259999999996,20250711T0550
Queue,100000,2.287066000000001,20250711T0550
Queue,125000,2.9205439999999996,20250711T0550
Queue,150000,3.800174000000002,20250711T0550
Queue,175000,4.143058,20250711T0550
Queue,200000,4.542965999999996,20250711T0550
Queue,300000,6.810125999999997,20250711T0550
Queue,400000,9.472583,20250711T0550
Queue,500000,11.514117000000006,20250711T0550
Queue,10000,5.154415,20250711T0550
Queue,25000,0.7797219999999996,20250711T0550
Queue,50000,1.2501990000000003,20250711T0550
Queue,75000,1.814591,20250711T0550
Queue,100000,2.3715560000000018,20250711T0550
Queue,125000,2.787313000000001,20250711T0550
Queue,150000,3.6058200000000014,20250711T0550
Queue,175000,4.2222919999999995,20250711T0550
Queue,200000,4.484830000000002,20250711T0550
Queue,300000,7.086562999999998,20250711T0550
Queue,400000,9.576539000000004,20250711T0550
Queue,500000,11.325193999999996,20250711T0550
Queue,10000,6.369274000000001,20250712T0720
Queue,25000,0.6830819999999989,20250712T0720
Queue,50000,1.2245490000000014,20250712T0720
Queue,75000,2.0173239999999986,20250712T0720
Queue,100000,2.6196959999999976,20250712T0720
Queue,125000,3.188219,20250712T0720
Queue,150000,4.3521670000000015,20250712T0720
Queue,175000,4.602656,20250712T0720
Queue,200000,5.133754,20250712T0720
Queue,300000,7.736182999999997,20250712T0720
Queue,400000,10.156625999999996,20250712T0720
Queue,500000,12.274699999999996,20250712T0720
Queue,10000,5.143474000000001,20250712T0720
Queue,25000,0.5811580000000003,20250712T0720
Queue,50000,1.1466619999999992,20250712T0720
Queue,75000,1.698556,20250712T0720
Queue,100000,2.249490999999999,20250712T0720
Queue,125000,2.734224000000001,20250712T0720
Queue,150000,3.574340000000003,20250712T0720
Queue,175000,4.084679000000001,20250712T0720
Queue,200000,4.312601999999998,20250712T0720
Queue,300000,6.632334,20250712T0720
Queue,400000,9.021498999999999,20250712T0720
Queue,500000,10.763542999999999,20250712T0720
Queue,10000,4.9905,20250712T0721
Queue,25000,0.6561939999999993,20250712T0721
Queue,50000,1.2464570000000013,20250712T0721
Queue,75000,1.7539359999999995,20250712T0721
Queue,100000,2.4094110000000004,20250712T0721
Queue,125000,2.878339999999998,20250712T0721
Queue,150000,3.7557560000000016,20250712T0721
Queue,175000,4.140774,20250712T0721
Queue,200000,4.5409260000000025,20250712T0721
Queue,300000,7.304984000000005,20250712T0721
Queue,400000,9.501221999999999,20250712T0721
Queue,500000,11.6569,20250712T0721
Queue,10000,4.854984000000001,20250712T0721
Queue,25000,0.6684019999999986,20250712T0721
Queue,50000,1.2337319999999998,20250712T0721
Queue,75000,1.8199490000000011,20250712T0721
Queue,100000,35.929832999999995,20250712T0721
Queue,125000,44.585011,20250712T0721
Queue,150000,3.074567000000002,20250712T0721
Queue,175000,3.424751999999998,20250712T0721
Queue,200000,3.745312999999996,20250712T0721
Queue,300000,5.839363000000006,20250712T0721
Queue,400000,7.8810860000000105,20250712T0721
Queue,500000,9.533990000000003,20250712T0721
Queue,10000,5.516889000000001,20250712T0721
Queue,25000,0.7423560000000009,20250712T0721
Queue,50000,1.2344850000000012,20250712T0721
Queue,75000,1.7708560000000002,20250712T0721
