Algorithm,Input,Time,Date
Queue,10000,2.0,20250713T0044
Queue,25000,5.0,20250713T0044
Queue,50000,5.0,20250713T0044
Queue,75000,9.0,20250713T0044
Queue,100000,11.0,20250713T0044
Queue,125000,14.0,20250713T0044
Queue,150000,17.0,20250713T0044
Queue,175000,21.0,20250713T0044
Queue,200000,23.0,20250713T0044
Queue,300000,39.0,20250713T0044
Queue,400000,54.0,20250713T0044
Queue,500000,68.0,20250713T0044
Queue,10000,2,20250721T1820
Queue,25000,3,20250721T1820
Queue,50000,5,20250721T1820
Queue,75000,8,20250721T1820
Queue,100000,10,20250721T1820
Queue,125000,13,20250721T1820
Queue,150000,16,20250721T1820
Queue,175000,20,20250721T1820
Queue,200000,22,20250721T1820
Queue,300000,37,20250721T1820
Queue,400000,49,20250721T1820
Queue,500000,66,20250721T1820
