Algorithm,Input,Time,Date
Queue,10000,3.0,20250713T0031
Queue,25000,2.0,20250713T0031
Queue,50000,5.0,20250713T0031
Queue,75000,8.0,20250713T0031
Queue,100000,11.0,20250713T0031
Queue,125000,13.0,20250713T0031
Queue,150000,15.0,20250713T0031
Queue,175000,18.0,20250713T0031
Queue,200000,19.0,20250713T0031
Queue,300000,31.0,20250713T0031
Queue,400000,43.0,20250713T0031
Queue,500000,51.0,20250713T0031
Queue,10000,3,20250721T1803
Queue,25000,4,20250721T1803
Queue,50000,5,20250721T1803
Queue,75000,9,20250721T1803
Queue,100000,12,20250721T1803
Queue,125000,15,20250721T1803
Queue,150000,19,20250721T1803
Queue,175000,21,20250721T1803
Queue,200000,24,20250721T1803
Queue,300000,37,20250721T1803
Queue,400000,51,20250721T1803
Queue,500000,63,20250721T1803
