Algorithm,Input,Time,Date
Queue,10000,9.220647,20250711T0402
Queue,25000,201.76512699999998,20250711T0402
Queue,50000,821.5206679999999,20250711T0402
Queue,75000,1375.692197,20250711T0402
Queue,100000,1912.9937949999999,20250711T0402
Queue,125000,5390.840816000001,20250711T0402
Queue,150000,6784.633703999998,20250711T0402
Queue,175000,6577.146443999998,20250711T0402
Queue,200000,12354.484373000003,20250711T0402
Queue,300000,27851.367186999996,20250711T0402
Queue,400000,49075.875457999995,20250711T0402
Queue,500000,91981.96335800001,20250711T0402
Queue,10000,8.826940000000008,20250711T0405
Queue,25000,192.486159,20250711T0405
Queue,50000,806.3520489999999,20250711T0405
Queue,75000,1339.395914,20250711T0405
Queue,100000,1682.5600530000002,20250711T0405
Queue,125000,4671.275859,20250711T0405
Queue,150000,5914.289961,20250711T0405
Queue,175000,5876.743259000001,20250711T0405
Queue,200000,10933.189198,20250711T0405
Queue,300000,24050.318153,20250711T0405
Queue,400000,49514.446452,20250711T0405
Queue,500000,78472.49475900001,20250711T0405
Queue,10000,8.94572199999999,20250711T0408
Queue,25000,195.963456,20250711T0408
Queue,50000,805.6652669999999,20250711T0408
Queue,75000,1338.369367,20250711T0408
Queue,100000,1678.0910260000005,20250711T0408
Queue,125000,4668.130217,20250711T0408
Queue,150000,5910.207421000001,20250711T0408
Queue,175000,6656.047585000002,20250711T0408
Queue,200000,12562.658705000002,20250711T0408
Queue,300000,29776.749620999995,20250711T0408
Queue,400000,44676.161479999995,20250711T0408
Queue,500000,74741.41443399999,20250711T0408
Queue,10000,9.038034999999994,20250712T0112
Queue,25000,194.89317700000004,20250712T0112
Queue,50000,802.1421409999998,20250712T0112
Queue,75000,1358.255005,20250712T0112
Queue,100000,1709.4679230000002,20250712T0112
Queue,125000,4703.816731,20250712T0112
Queue,150000,5955.475888999999,20250712T0112
Queue,175000,5889.066703999999,20250712T0112
Queue,200000,10951.234803,20250712T0112
Queue,300000,22800.42013,20250712T0112
