Algorithm,Input,Time,Date
Queue,10000,5.628448999999989,20250711T0507
Queue,25000,5.003974999999997,20250711T0507
Queue,50000,6.328039999999987,20250711T0507
Queue,75000,3.3168110000000013,20250711T0507
Queue,100000,3.980928000000006,20250711T0507
Queue,125000,4.8677809999999795,20250711T0507
Queue,150000,6.119333000000012,20250711T0507
Queue,175000,6.688347999999991,20250711T0507
Queue,200000,7.921429999999987,20250711T0507
Queue,300000,11.693645000000004,20250711T0507
Queue,400000,20.235321,20250711T0507
Queue,500000,19.4315,20250711T0507
Queue,10000,5.09561699999999,20250711T0507
Queue,25000,4.764060000000001,20250711T0507
Queue,50000,4.126717999999983,20250711T0507
Queue,75000,3.0627520000000175,20250711T0507
Queue,100000,3.9146209999999826,20250711T0507
Queue,125000,4.839211000000006,20250711T0507
Queue,150000,5.790652000000023,20250711T0507
Queue,175000,6.658277999999996,20250711T0507
Queue,200000,7.684466999999984,20250711T0507
Queue,300000,11.50412,20250711T0507
Queue,400000,15.332322000000005,20250711T0507
Queue,500000,18.953777000000002,20250711T0507
Queue,10000,5.675837000000016,20250711T0507
Queue,25000,4.822238999999996,20250711T0507
Queue,50000,3.861245999999994,20250711T0507
Queue,75000,5.691010000000006,20250711T0507
Queue,100000,4.040053,20250711T0507
Queue,125000,4.9595879999999966,20250711T0507
Queue,150000,5.886974999999978,20250711T0507
Queue,175000,6.807710999999983,20250711T0507
Queue,200000,7.905200000000008,20250711T0507
Queue,300000,11.807738999999998,20250711T0507
Queue,400000,16.195009,20250711T0507
Queue,500000,19.500980999999996,20250711T0507
Queue,10000,5.122650000000007,20250712T0459
Queue,25000,4.744000999999997,20250712T0459
Queue,50000,4.969393999999994,20250712T0459
Queue,75000,3.254827000000006,20250712T0459
Queue,100000,4.1540749999999775,20250712T0459
Queue,125000,5.394836999999995,20250712T0459
Queue,150000,6.546035000000018,20250712T0459
Queue,175000,7.1344139999999925,20250712T0459
Queue,200000,8.204541000000006,20250712T0459
Queue,300000,12.295642999999984,20250712T0459
Queue,400000,16.502340000000004,20250712T0459
Queue,500000,20.128649999999993,20250712T0459
Queue,10000,5.325643000000014,20250712T0459
Queue,25000,4.663969000000009,20250712T0459
Queue,50000,4.087983000000008,20250712T0459
Queue,75000,2.9921560000000227,20250712T0459
Queue,100000,4.008375000000001,20250712T0459
Queue,125000,4.982912999999996,20250712T0459
Queue,150000,6.004608999999988,20250712T0459
Queue,175000,7.01339200000001,20250712T0459
Queue,200000,8.554148999999995,20250712T0459
Queue,300000,12.267696,20250712T0459
Queue,400000,16.82732999999999,20250712T0459
Queue,500000,20.807007,20250712T0459
Queue,10000,5.784279000000012,20250712T0459
Queue,25000,4.829486000000003,20250712T0459
Queue,50000,4.985835000000009,20250712T0459
Queue,75000,3.117344000000003,20250712T0459
Queue,100000,3.9811559999999986,20250712T0459
Queue,125000,4.9234189999999955,20250712T0459
Queue,150000,5.820375999999982,20250712T0459
Queue,175000,6.9170019999999965,20250712T0459
Queue,200000,8.043762999999984,20250712T0459
Queue,300000,11.753746000000007,20250712T0459
Queue,400000,16.05117100000001,20250712T0459
Queue,500000,19.60089499999998,20250712T0459
Queue,10000,5.251092,20250712T0459
Queue,25000,4.6787490000000105,20250712T0459
Queue,50000,4.063991000000016,20250712T0459
Queue,75000,2.9982259999999883,20250712T0459
Queue,100000,3.9193050000000085,20250712T0459
Queue,125000,4.883213000000012,20250712T0459
Queue,150000,5.70613400000002,20250712T0459
Queue,175000,7.287127999999996,20250712T0459
Queue,200000,7.767315999999994,20250712T0459
Queue,300000,11.511629,20250712T0459
Queue,400000,15.421695,20250712T0459
Queue,500000,19.238046999999995,20250712T0459
Queue,10000,5.309137000000007,20250712T0459
Queue,25000,4.4556189999999845,20250712T0459
Queue,50000,4.131423000000012,20250712T0459
Queue,75000,3.075741999999991,20250712T0459
Queue,100000,3.9156460000000095,20250712T0459
Queue,125000,4.908736000000005,20250712T0459
Queue,150000,5.725821999999994,20250712T0459
Queue,175000,6.64851299999998,20250712T0459
Queue,200000,7.700856000000016,20250712T0459
Queue,300000,11.514336999999983,20250712T0459
Queue,400000,15.369747999999987,20250712T0459
Queue,500000,19.605976999999996,20250712T0459
Queue,10000,5.4374289999999945,20250712T0459
Queue,25000,4.615161999999998,20250712T0459
Queue,50000,4.1543419999999855,20250712T0459
Queue,75000,3.0373069999999984,20250712T0459
Queue,100000,3.9923049999999876,20250712T0459
Queue,125000,4.948384000000004,20250712T0459
Queue,150000,5.838903000000016,20250712T0459
Queue,175000,6.781993999999997,20250712T0459
Queue,200000,7.910809999999998,20250712T0459
